fiscal_year,Query_Run,Customer,SubCustomer,productorservicearea,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1997,08:22.5,Defense,Air Force,Ground Vehicles,Fixed Price Incentive,199778,4
1997,08:22.5,Defense,Air Force,ICT,Fixed Price Incentive,653273,2
1997,08:22.5,Defense,Air Force,ICT,Time and Materials,45315014,217
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Firm Fixed Price,117570453,304
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Fixed Price Incentive,147696233,15
1997,08:22.5,Defense,Air Force,Other,Cost Plus Award Fee,78339991,44
1997,08:22.5,Defense,Air Force,Other,Labor Hours,413175,4
1997,08:22.5,Defense,Air Force,PAMS,Cost No Fee,24056331,78
1997,08:22.5,Defense,Air Force,PAMS,Fixed Price with Economic Price Adjustment,40497443,85
1997,08:22.5,Defense,Air Force,R&D,Fixed Price Redetermination,237098,2
1997,08:22.5,Defense,Army,Aircraft,Firm Fixed Price,820699482,609
1997,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Incentive,26339428,17
1996,08:22.5,Defense,Navy,Fuels,NULL,228279,3
1996,08:22.5,Defense,Navy,Fuels,Fixed Price with Economic Price Adjustment,5368732,69
1996,08:22.5,Defense,Navy,Ground Vehicles,Fixed Price with Economic Price Adjustment,32128,1
1996,08:22.5,Defense,Navy,ICT,Cost Plus Award Fee,93150107,447
1996,08:22.5,Defense,Navy,ICT,Cost Plus Incentive,8692914,8
1996,08:22.5,Defense,Navy,Launchers & Munitions,Cost Plus Incentive,23173202,9
1996,08:22.5,Defense,Navy,MED,Fixed Price Redetermination,196200,1
1996,08:22.5,Defense,Navy,Missiles & Space,Cost Plus Incentive,800062391,37
1996,08:22.5,Defense,Navy,Other,NULL,94516504,322
1996,08:22.5,Defense,Navy,PAMS,NULL,281501447,488
1996,08:22.5,Defense,Navy,PAMS,Fixed Price Redetermination,8094216,71
1996,08:22.5,Defense,Navy,R&D,Cost Sharing,22682834,55
1996,08:22.5,Defense,Navy,R&D,Labor Hours,180701,3
1996,08:22.5,Defense,Other DoD,Aircraft,Firm Fixed Price,38322052,86
1996,08:22.5,Defense,Other DoD,FRS&C,Fixed Price Redetermination,68616,2
1996,08:22.5,Defense,Other DoD,FRS&C,Time and Materials,2019532,10
1996,08:22.5,Defense,Other DoD,ICT,NULL,3827840,9
1996,08:22.5,Defense,Other DoD,ICT,Cost No Fee,437818,6
1996,08:22.5,Defense,Other DoD,R&D,Time and Materials,13596806,38
1997,08:22.5,Defense,Air Force,Aircraft,NULL,773621,10
1997,08:22.5,Defense,Air Force,Aircraft,Firm Fixed Price,5588670920,2563
1997,08:22.5,Defense,Air Force,Electronics & Communications,Fixed Price Redetermination,1424025,25
1997,08:22.5,Defense,Air Force,Electronics & Communications,Time and Materials,34649945,109
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Cost Plus Fixed Fee,7803857,15
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Fixed Price with Economic Price Adjustment,237712744,18
1997,08:22.5,Defense,Air Force,ERS,Cost No Fee,5389521,6
1997,08:22.5,Defense,Air Force,ERS,Time and Materials,480771256,745
1997,08:22.5,Defense,Air Force,FRS&C,Time and Materials,23003923,157
1997,08:22.5,Defense,Air Force,ICT,Cost No Fee,6647946,20
1997,08:22.5,Defense,Air Force,ICT,Labor Hours,64591531,190
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Cost No Fee,63374,1
1997,08:22.5,Defense,Air Force,Other,Time and Materials,654246,15
1997,08:22.5,Defense,Air Force,PAMS,Firm Fixed Price,1645459915,4789
1997,08:22.5,Defense,Air Force,R&D,Cost Plus Fixed Fee,1347902387,3361
1997,08:22.5,Defense,Air Force,R&D,Fixed Price with Economic Price Adjustment,133878656,21
1997,08:22.5,Defense,Army,Aircraft,Cost Plus Fixed Fee,25969081,30
1997,08:22.5,Defense,Army,Clothing & Subsistence,Cost No Fee,69498,2
1997,08:22.5,Defense,Army,Electronics & Communications,NULL,282969771,2876
1997,08:22.5,Defense,Army,ERS,Cost Plus Award Fee,88594772,38
1997,08:22.5,Defense,Army,ERS,Cost Plus Incentive,124772722,22
1997,08:22.5,Defense,Army,FRS&C,Fixed Price with Economic Price Adjustment,108299283,211
1997,08:22.5,Defense,Army,Fuels,Fixed Price with Economic Price Adjustment,1578691,24
1997,08:22.5,Defense,Army,ICT,Firm Fixed Price,807374021,3122
1996,08:22.5,Defense,Navy,ERS,Time and Materials,125392622,719
1996,08:22.5,Defense,Navy,Ground Vehicles,NULL,4189497,35
1996,08:22.5,Defense,Navy,Ground Vehicles,Firm Fixed Price,38351120,293
1996,08:22.5,Defense,Navy,ICT,Cost No Fee,-258313,9
1996,08:22.5,Defense,Navy,ICT,Fixed Price Incentive,-54546,1
1996,08:22.5,Defense,Navy,ICT,Labor Hours,12032580,68
1996,08:22.5,Defense,Navy,Launchers & Munitions,Cost No Fee,45000,1
1996,08:22.5,Defense,Navy,MED,NULL,405000,2
1996,08:22.5,Defense,Navy,Missiles & Space,Cost No Fee,500000,2
1996,08:22.5,Defense,Navy,Other,Fixed Price with Economic Price Adjustment,6810275,22
1996,08:22.5,Defense,Navy,Other,Time and Materials,23084343,62
1996,08:22.5,Defense,Navy,PAMS,Cost Plus Incentive,36597184,21
1996,08:22.5,Defense,Navy,R&D,Cost Plus Incentive,498158863,111
1996,08:22.5,Defense,Navy,R&D,Fixed Price with Economic Price Adjustment,15550961,6
1996,08:22.5,Defense,Navy,Ships,Cost Plus Award Fee,132008765,57
1996,08:22.5,Defense,Navy,Ships,Cost Plus Fixed Fee,104386172,45
1996,08:22.5,Defense,Other DoD,Aircraft,Fixed Price Redetermination,1202984,4
1996,08:22.5,Defense,Other DoD,Electronics & Communications,Fixed Price with Economic Price Adjustment,107705,8
1996,08:22.5,Defense,Other DoD,Electronics & Communications,Labor Hours,576413,3
1996,08:22.5,Defense,Other DoD,ICT,Cost Plus Award Fee,42033758,48
1996,08:22.5,Defense,Other DoD,Other,Cost Plus Fixed Fee,24127495,35
1996,08:22.5,Defense,Other DoD,PAMS,NULL,503961,7
1996,08:22.5,Defense,Other DoD,PAMS,Firm Fixed Price,86153659,603
1996,08:22.5,Defense,Other DoD,R&D,NULL,513485,3
1996,08:22.5,Defense,Other DoD,R&D,Firm Fixed Price,47108608,139
1996,08:22.5,Defense,Other DoD,R&D,Fixed Price Redetermination,66062,3
1997,08:22.5,Defense,Air Force,Aircraft,Cost Plus Incentive,408555952,39
1997,08:22.5,Defense,Air Force,Aircraft,Cost Sharing,494366,1
1997,08:22.5,Defense,Air Force,Aircraft,Fixed Price with Economic Price Adjustment,227562410,11
1997,08:22.5,Defense,Air Force,Clothing & Subsistence,NULL,11441576,174
1997,08:22.5,Defense,Air Force,Electronics & Communications,NULL,198122521,2474
1997,08:22.5,Defense,Air Force,Electronics & Communications,Firm Fixed Price,1086998363,5099
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Cost Sharing,121875,1
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Fixed Price Incentive,3763885,13
1997,08:22.5,Defense,Air Force,ERS,Fixed Price Incentive,271504483,75
1997,08:22.5,Defense,Air Force,FRS&C,Firm Fixed Price,2400901449,8448
1997,08:22.5,Defense,Air Force,FRS&C,Fixed Price Redetermination,15509515,51
1997,08:22.5,Defense,Air Force,Fuels,Fixed Price with Economic Price Adjustment,26838008,86
1997,08:22.5,Defense,Air Force,ICT,Cost Plus Incentive,2561710,1
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Cost Plus Incentive,1225926,1
1997,08:22.5,Defense,Air Force,Missiles & Space,Cost Plus Incentive,-1583049,2
1997,08:22.5,Defense,Air Force,Missiles & Space,Fixed Price with Economic Price Adjustment,52893629,29
1996,08:22.5,Defense,Air Force,Other,Fixed Price Redetermination,1144253,22
1996,08:22.5,Defense,Air Force,PAMS,Fixed Price Incentive,48617834,113
1996,08:22.5,Defense,Air Force,R&D,NULL,137529051,35
1996,08:22.5,Defense,Air Force,R&D,Time and Materials,65795450,273
1996,08:22.5,Defense,Army,Aircraft,Labor Hours,-68919,1
1996,08:22.5,Defense,Army,Clothing & Subsistence,Cost Plus Fixed Fee,15328140,14
1996,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Fixed Fee,51029463,150
1996,08:22.5,Defense,Army,ERS,NULL,53835884,45
1996,08:22.5,Defense,Army,FRS&C,Cost Plus Incentive,14000122,48
1996,08:22.5,Defense,Army,Ground Vehicles,Cost Plus Fixed Fee,126844983,75
1996,08:22.5,Defense,Army,Ground Vehicles,Fixed Price Redetermination,128236,3
1996,08:22.5,Defense,Army,Launchers & Munitions,Cost No Fee,85068,1
1996,08:22.5,Defense,Army,MED,NULL,199532,4
1996,08:22.5,Defense,Army,Missiles & Space,Fixed Price Incentive,24052572,10
1996,08:22.5,Defense,Army,Other,NULL,118909883,383
1996,08:22.5,Defense,Army,Other,Time and Materials,12236996,52
1996,08:22.5,Defense,Army,R&D,Cost No Fee,224763335,664
1996,08:22.5,Defense,Army,R&D,Fixed Price with Economic Price Adjustment,495944,6
1996,08:22.5,Defense,Army,R&D,Labor Hours,1589774,24
1996,08:22.5,Defense,Army,R&D,Time and Materials,190871404,970
1996,08:22.5,Defense,DLA,Electronics & Communications,Cost Plus Fixed Fee,1015657,7
1996,08:22.5,Defense,DLA,ERS,Time and Materials,95080,2
1996,08:22.5,Defense,DLA,FRS&C,Cost Plus Incentive,1641160,6
1996,08:22.5,Defense,DLA,Fuels,NULL,66340624,4
1996,08:22.5,Defense,DLA,Other,NULL,19556040,184
1996,08:22.5,Defense,DLA,PAMS,Fixed Price Incentive,930640,18
1996,08:22.5,Defense,DLA,R&D,Cost No Fee,5731744,59
1996,08:22.5,Defense,MDA,R&D,Cost No Fee,4719163,11
1996,08:22.5,Defense,MilitaryHealth,ICT,Firm Fixed Price,320605,4
1996,08:22.5,Defense,MilitaryHealth,MED,Cost Plus Award Fee,-260598,1
1996,08:22.5,Defense,Navy,Engines & Power Plants,Fixed Price Redetermination,102475,1
1996,08:22.5,Defense,Navy,FRS&C,Fixed Price Incentive,184376909,205
1996,08:22.5,Defense,Navy,FRS&C,Fixed Price with Economic Price Adjustment,2677171,23
1996,08:22.5,Defense,Navy,FRS&C,Time and Materials,11232909,44
1996,08:22.5,Defense,Navy,Fuels,Firm Fixed Price,5835658,21
1996,08:22.5,Defense,Navy,ICT,Fixed Price Redetermination,12713324,26
1996,08:22.5,Defense,Navy,Missiles & Space,Cost Plus Award Fee,312463951,95
1996,08:22.5,Defense,Navy,Missiles & Space,Firm Fixed Price,714882740,342
1996,08:22.5,Defense,Navy,Other,Cost Plus Fixed Fee,18312056,63
1996,08:22.5,Defense,Navy,Other,Fixed Price Redetermination,5313526,46
1996,08:22.5,Defense,Navy,R&D,Cost Plus Fixed Fee,2557377280,6093
1996,08:22.5,Defense,Navy,R&D,Firm Fixed Price,460237020,866
1996,08:22.5,Defense,Navy,Ships,Fixed Price with Economic Price Adjustment,7300906,20
1996,08:22.5,Defense,Other DoD,Aircraft,Time and Materials,1925645,1
1996,08:22.5,Defense,Other DoD,Ships,Cost Plus Fixed Fee,2788064,6
1997,08:22.5,Defense,Air Force,Clothing & Subsistence,Firm Fixed Price,19931851,202
1997,08:22.5,Defense,Air Force,Clothing & Subsistence,Fixed Price Redetermination,288829,4
1997,08:22.5,Defense,Air Force,Electronics & Communications,Cost Plus Incentive,-11786512,8
1997,08:22.5,Defense,Air Force,ERS,Cost Plus Award Fee,674768457,115
1997,08:22.5,Defense,Air Force,ERS,Cost Plus Fixed Fee,244254823,191
1997,08:22.5,Defense,Air Force,ERS,Fixed Price Redetermination,1355737,21
1997,08:22.5,Defense,Air Force,FRS&C,Fixed Price Incentive,101765902,73
1997,08:22.5,Defense,Air Force,Fuels,Firm Fixed Price,54736951,174
1997,08:22.5,Defense,Air Force,MED,Firm Fixed Price,15542750,125
1997,08:22.5,Defense,Air Force,Missiles & Space,NULL,-1507014,8
1997,08:22.5,Defense,Air Force,Missiles & Space,Fixed Price Redetermination,-3508,3
1997,08:22.5,Defense,Air Force,Missiles & Space,Time and Materials,-4807646,14
1997,08:22.5,Defense,Air Force,Other,Cost Plus Fixed Fee,11601886,19
1997,08:22.5,Defense,Air Force,Other,Fixed Price Redetermination,1676352,25
1997,08:22.5,Defense,Air Force,PAMS,NULL,62841212,307
1997,08:22.5,Defense,Air Force,PAMS,Time and Materials,623902114,1636
1997,08:22.5,Defense,Air Force,R&D,NULL,7673546,24
1997,08:22.5,Defense,Air Force,R&D,Time and Materials,56580410,150
1997,08:22.5,Defense,Army,Clothing & Subsistence,Cost Plus Fixed Fee,1308050,6
1997,08:22.5,Defense,Army,Clothing & Subsistence,Firm Fixed Price,147545256,1159
1997,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Award Fee,32584246,36
1997,08:22.5,Defense,Army,Engines & Power Plants,NULL,4496253,40
1997,08:22.5,Defense,Army,Engines & Power Plants,Time and Materials,145035,2
1997,08:22.5,Defense,Army,ERS,NULL,23999344,288
1997,08:22.5,Defense,Army,ERS,Fixed Price Redetermination,2523425,16
1997,08:22.5,Defense,Army,Fuels,NULL,645483,12
1997,08:22.5,Defense,Army,Fuels,Firm Fixed Price,5370236,54
1997,08:22.5,Defense,Army,Ground Vehicles,Firm Fixed Price,1788758484,1314
1997,08:22.5,Defense,Army,ICT,Fixed Price Incentive,1000000,3
1997,08:22.5,Defense,Army,ICT,Time and Materials,132937103,516
1997,08:22.5,Defense,Army,Launchers & Munitions,Fixed Price Incentive,15181352,7
1997,08:22.5,Defense,Army,Launchers & Munitions,Labor Hours,97172,1
1997,08:22.5,Defense,Army,Missiles & Space,NULL,1325646,23
1997,08:22.5,Defense,Army,Missiles & Space,Time and Materials,-390000,1
1997,08:22.5,Defense,Army,Other,NULL,223380949,2303
1997,08:22.5,Defense,Army,Other,Labor Hours,985216,6
1997,08:22.5,Defense,Army,Other,Time and Materials,20727104,64
1997,08:22.5,Defense,Army,PAMS,Cost No Fee,14990178,97
1997,08:22.5,Defense,Army,PAMS,Fixed Price Incentive,9790230,16
1997,08:22.5,Defense,Army,PAMS,Fixed Price with Economic Price Adjustment,9094113,40
1997,08:22.5,Defense,Army,R&D,Fixed Price with Economic Price Adjustment,958135,3
1997,08:22.5,Defense,Army,R&D,Labor Hours,623607,13
1997,08:22.5,Defense,DLA,Clothing & Subsistence,Firm Fixed Price,1630512451,13732
1996,08:22.5,Defense,Other DoD,Electronics & Communications,Fixed Price Redetermination,124359,2
1996,08:22.5,Defense,Other DoD,FRS&C,Cost Plus Award Fee,1788681,5
1996,08:22.5,Defense,Other DoD,R&D,Cost No Fee,38025476,39
1996,08:22.5,Defense,Other DoD,R&D,Labor Hours,124894,1
1996,08:22.5,Defense,Other DoD,Ships,Firm Fixed Price,10408815,18
1997,08:22.5,Defense,Air Force,Aircraft,Cost Plus Fixed Fee,120975267,114
1997,08:22.5,Defense,Air Force,Aircraft,Fixed Price Redetermination,48896113,14
1997,08:22.5,Defense,Air Force,Engines & Power Plants,NULL,3506829,37
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Cost Plus Award Fee,10000000,1
1997,08:22.5,Defense,Air Force,Engines & Power Plants,Firm Fixed Price,1052601872,1867
1997,08:22.5,Defense,Air Force,ERS,Firm Fixed Price,1371784402,2555
1997,08:22.5,Defense,Air Force,FRS&C,Cost No Fee,36741542,108
1997,08:22.5,Defense,Air Force,FRS&C,Labor Hours,89697,7
1997,08:22.5,Defense,Air Force,Fuels,NULL,538371,4
1997,08:22.5,Defense,Air Force,ICT,NULL,73022875,424
1997,08:22.5,Defense,Air Force,ICT,Firm Fixed Price,527179326,2099
1997,08:22.5,Defense,Air Force,Launchers & Munitions,NULL,440398,6
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Fixed Price with Economic Price Adjustment,260634,1
1997,08:22.5,Defense,Air Force,Launchers & Munitions,Time and Materials,4010908,25
1997,08:22.5,Defense,Air Force,Missiles & Space,Cost Plus Fixed Fee,65603245,19
1997,08:22.5,Defense,Air Force,Other,Firm Fixed Price,497970007,2895
1997,08:22.5,Defense,Air Force,PAMS,Fixed Price Incentive,42773389,38
1997,08:22.5,Defense,Air Force,PAMS,Labor Hours,172692254,746
1997,08:22.5,Defense,Air Force,R&D,Fixed Price Incentive,1524954,59
1997,08:22.5,Defense,Army,Aircraft,NULL,4955384,13
1997,08:22.5,Defense,Army,Aircraft,Time and Materials,8091859,16
1997,08:22.5,Defense,Army,Clothing & Subsistence,Fixed Price Redetermination,934270,15
1997,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Fixed Fee,97464316,232
1997,08:22.5,Defense,Army,Electronics & Communications,Fixed Price Redetermination,8800621,72
1997,08:22.5,Defense,Army,FRS&C,Cost Plus Incentive,6956406,41
1997,08:22.5,Defense,Army,ICT,Fixed Price with Economic Price Adjustment,5132214,46
1997,08:22.5,Defense,Army,Launchers & Munitions,Time and Materials,2510485,13
1997,08:22.5,Defense,Army,MED,NULL,891040,16
1997,08:22.5,Defense,Army,Missiles & Space,Fixed Price Incentive,21468828,14
1997,08:22.5,Defense,Army,R&D,Fixed Price Incentive,7246975,6
1997,08:22.5,Defense,Army,R&D,Time and Materials,249728015,1071
1997,08:22.5,Defense,DLA,Aircraft,NULL,83498,2
1997,08:22.5,Defense,DLA,Aircraft,Time and Materials,232375,1
1997,08:22.5,Defense,DLA,Electronics & Communications,Cost Plus Fixed Fee,153132,2
1997,08:22.5,Defense,DLA,Electronics & Communications,Fixed Price Redetermination,2126823,10
1997,08:22.5,Defense,DLA,ERS,Cost Plus Fixed Fee,-99146,1
1997,08:22.5,Defense,DLA,FRS&C,Cost Plus Incentive,960512,6
1997,08:22.5,Defense,DLA,Fuels,Fixed Price Incentive,1560192,1
1997,08:22.5,Defense,Army,FRS&C,Cost No Fee,140537429,121
1997,08:22.5,Defense,Army,FRS&C,Cost Plus Award Fee,678162320,743
1997,08:22.5,Defense,Army,FRS&C,Labor Hours,1156028,13
1997,08:22.5,Defense,Army,Fuels,Cost No Fee,343144,2
1997,08:22.5,Defense,Army,Ground Vehicles,Cost Plus Incentive,4993745,6
1997,08:22.5,Defense,Army,Ground Vehicles,Fixed Price Redetermination,41554,1
1997,08:22.5,Defense,Army,ICT,Cost Sharing,390000,1
1997,08:22.5,Defense,Army,Launchers & Munitions,Fixed Price Redetermination,4469357,19
1997,08:22.5,Defense,Army,MED,Fixed Price Incentive,5980968,32
1997,08:22.5,Defense,Army,MED,Fixed Price Redetermination,441835,3
1997,08:22.5,Defense,Army,Missiles & Space,Fixed Price Redetermination,10682222,6
1997,08:22.5,Defense,Army,Other,Cost Plus Fixed Fee,71086081,143
1997,08:22.5,Defense,Army,Other,Fixed Price with Economic Price Adjustment,1040119,24
1997,08:22.5,Defense,Army,PAMS,NULL,72947064,336
1997,08:22.5,Defense,Army,R&D,Cost Plus Award Fee,687652470,304
1997,08:22.5,Defense,Army,R&D,Cost Plus Incentive,808589822,232
1997,08:22.5,Defense,Army,Ships,Firm Fixed Price,49710303,118
1997,08:22.5,Defense,DLA,Clothing & Subsistence,Fixed Price with Economic Price Adjustment,12342287,90
1997,08:22.5,Defense,DLA,Engines & Power Plants,Firm Fixed Price,245667713,2444
1997,08:22.5,Defense,DLA,Engines & Power Plants,Fixed Price Redetermination,145374,2
1997,08:22.5,Defense,DLA,FRS&C,Cost Plus Fixed Fee,256676,6
1997,08:22.5,Defense,DLA,Ground Vehicles,Fixed Price Redetermination,551605,10
1997,08:22.5,Defense,DLA,Other,Fixed Price with Economic Price Adjustment,126534475,760
1997,08:22.5,Defense,DLA,PAMS,NULL,3028230,36
1997,08:22.5,Defense,DLA,PAMS,Cost No Fee,4387599,26
1997,08:22.5,Defense,DLA,Ships,Firm Fixed Price,15078443,187
1997,08:22.5,Defense,MDA,R&D,Cost No Fee,5360000,9
1997,08:22.5,Defense,MilitaryHealth,MED,Firm Fixed Price,1808698392,171
1997,08:22.5,Defense,MilitaryHealth,PAMS,Firm Fixed Price,-1225479,20
1997,08:22.5,Defense,Navy,Aircraft,Cost Plus Incentive,538802486,17
1997,08:22.5,Defense,Navy,Electronics & Communications,Cost Plus Award Fee,110154333,143
1997,08:22.5,Defense,Navy,Electronics & Communications,Cost Plus Incentive,36728505,17
1997,08:22.5,Defense,Navy,Engines & Power Plants,NULL,363374134,25
1997,08:22.5,Defense,Navy,ERS,Cost Sharing,570490,1
1997,08:22.5,Defense,Navy,ERS,Firm Fixed Price,2253554020,4542
1997,08:22.5,Defense,Navy,ERS,Fixed Price Incentive,28439088,23
1997,08:22.5,Defense,Navy,FRS&C,Firm Fixed Price,4139510981,10659
1997,08:22.5,Defense,Navy,FRS&C,Fixed Price Redetermination,19892028,60
1997,08:22.5,Defense,Navy,Ground Vehicles,Time and Materials,31772,1
1997,08:22.5,Defense,Navy,ICT,Cost No Fee,732920,4
1997,08:22.5,Defense,Navy,ICT,Labor Hours,11401005,76
1997,08:22.5,Defense,Navy,Launchers & Munitions,Fixed Price Incentive,465984529,28
1997,08:22.5,Defense,Navy,MED,Fixed Price with Economic Price Adjustment,345386,3
1997,08:22.5,Defense,Navy,Other,Firm Fixed Price,797758201,3817
1997,08:22.5,Defense,Air Force,Other,Cost No Fee,2537654844,2485
1997,08:22.5,Defense,Air Force,Other,Fixed Price Incentive,-619798,48
1997,08:22.5,Defense,Air Force,PAMS,Cost Sharing,3683188,13
1997,08:22.5,Defense,Air Force,R&D,Cost Sharing,32019819,82
1997,08:22.5,Defense,Army,Electronics & Communications,Fixed Price with Economic Price Adjustment,205670175,318
1997,08:22.5,Defense,Army,Electronics & Communications,Time and Materials,14607197,86
1997,08:22.5,Defense,Army,Engines & Power Plants,Cost Plus Fixed Fee,16149465,36
1997,08:22.5,Defense,Army,ERS,Cost No Fee,8898381,12
1997,08:22.5,Defense,Army,ERS,Labor Hours,1182059,14
1997,08:22.5,Defense,Army,FRS&C,Cost Plus Fixed Fee,409565213,875
1997,08:22.5,Defense,Army,Ground Vehicles,Fixed Price Incentive,3771,2
1997,08:22.5,Defense,Army,ICT,Fixed Price Redetermination,3690056,27
1997,08:22.5,Defense,Army,Launchers & Munitions,Firm Fixed Price,1099865964,834
1997,08:22.5,Defense,Army,Other,Cost No Fee,11475757,29
1997,08:22.5,Defense,Army,Other,Cost Plus Incentive,14966917,16
1997,08:22.5,Defense,Army,PAMS,Cost Plus Fixed Fee,1046684339,1842
1997,08:22.5,Defense,Army,PAMS,Firm Fixed Price,1671849961,10995
1997,08:22.5,Defense,Army,R&D,Cost Plus Fixed Fee,2164016727,3080
1997,08:22.5,Defense,Army,R&D,Firm Fixed Price,646307267,1377
1997,08:22.5,Defense,Army,Ships,NULL,2224124,25
1997,08:22.5,Defense,DLA,Electronics & Communications,Fixed Price with Economic Price Adjustment,25882703,136
1997,08:22.5,Defense,DLA,Electronics & Communications,Time and Materials,164405,2
1997,08:22.5,Defense,DLA,ERS,Cost No Fee,1000000,2
1997,08:22.5,Defense,DLA,FRS&C,Firm Fixed Price,157145057,826
1997,08:22.5,Defense,DLA,Ground Vehicles,Fixed Price with Economic Price Adjustment,28618800,279
1997,08:22.5,Defense,DLA,Launchers & Munitions,Fixed Price Redetermination,72800,1
1997,08:22.5,Defense,DLA,PAMS,Cost Plus Fixed Fee,59898084,262
1997,08:22.5,Defense,DLA,PAMS,Firm Fixed Price,7051277,80
1997,08:22.5,Defense,DLA,R&D,Cost Plus Fixed Fee,4759363,23
1997,08:22.5,Defense,DLA,R&D,Firm Fixed Price,1865000,1
1997,08:22.5,Defense,MDA,R&D,Cost Plus Fixed Fee,326836336,285
1997,08:22.5,Defense,MilitaryHealth,MED,Fixed Price Incentive,50814353,112
1997,08:22.5,Defense,Navy,Aircraft,Fixed Price Incentive,29583778,5
1997,08:22.5,Defense,Navy,Aircraft,Fixed Price with Economic Price Adjustment,9707426,3
1997,08:22.5,Defense,Navy,Aircraft,Time and Materials,55549,3
1997,08:22.5,Defense,Navy,Clothing & Subsistence,NULL,12078023,122
1997,08:22.5,Defense,Navy,Clothing & Subsistence,Firm Fixed Price,132897897,858
1997,08:22.5,Defense,Navy,Electronics & Communications,Cost Plus Fixed Fee,112549947,256
1997,08:22.5,Defense,Navy,Electronics & Communications,Firm Fixed Price,1347554636,5205
1997,08:22.5,Defense,Navy,Engines & Power Plants,Fixed Price Incentive,50032000,2
1997,08:22.5,Defense,Navy,ERS,NULL,42815158,163
1997,08:22.5,Defense,Navy,ERS,Fixed Price Redetermination,5214257,7
1997,08:22.5,Defense,Navy,Ground Vehicles,Cost Plus Award Fee,347600,1
1997,08:22.5,Defense,Army,FRS&C,Firm Fixed Price,7028158318,21743
1997,08:22.5,Defense,Army,FRS&C,Fixed Price Incentive,13750410,33
1997,08:22.5,Defense,Army,Ground Vehicles,Cost Plus Fixed Fee,204276950,106
1997,08:22.5,Defense,Army,Launchers & Munitions,Cost Plus Fixed Fee,62284319,58
1997,08:22.5,Defense,Army,MED,Cost Plus Fixed Fee,2785065,12
1997,08:22.5,Defense,Army,Missiles & Space,Cost No Fee,373962,3
1997,08:22.5,Defense,Army,Other,Fixed Price Redetermination,2835735,36
1997,08:22.5,Defense,Army,PAMS,Cost Plus Incentive,33286930,22
1997,08:22.5,Defense,Army,R&D,NULL,5668114,5
1997,08:22.5,Defense,Army,R&D,Cost No Fee,201758046,577
1997,08:22.5,Defense,DLA,Aircraft,Firm Fixed Price,315822326,3751
1997,08:22.5,Defense,DLA,Clothing & Subsistence,Fixed Price Redetermination,2302652,8
1997,08:22.5,Defense,DLA,Missiles & Space,Fixed Price with Economic Price Adjustment,288970,3
1997,08:22.5,Defense,DLA,R&D,Cost No Fee,1864217,19
1997,08:22.5,Defense,MDA,R&D,Firm Fixed Price,36589342,17
1997,08:22.5,Defense,MilitaryHealth,FRS&C,Firm Fixed Price,117972,1
1997,08:22.5,Defense,MilitaryHealth,MED,Cost Plus Fixed Fee,232964,2
1997,08:22.5,Defense,Navy,Clothing & Subsistence,Fixed Price with Economic Price Adjustment,724382,11
1997,08:22.5,Defense,Navy,Engines & Power Plants,Firm Fixed Price,453705697,1288
1997,08:22.5,Defense,Navy,Engines & Power Plants,Fixed Price Redetermination,86853,1
1997,08:22.5,Defense,Navy,FRS&C,NULL,1404936,15
1997,08:22.5,Defense,Navy,FRS&C,Cost No Fee,26649212,16
1997,08:22.5,Defense,Navy,FRS&C,Cost Plus Award Fee,344071779,638
1997,08:22.5,Defense,Navy,FRS&C,Fixed Price with Economic Price Adjustment,4836043,23
1997,08:22.5,Defense,Navy,FRS&C,Labor Hours,552233,4
1997,08:22.5,Defense,Navy,Fuels,Fixed Price with Economic Price Adjustment,3041329,47
1997,08:22.5,Defense,Navy,ICT,Cost Sharing,418600,7
1997,08:22.5,Defense,Navy,Launchers & Munitions,Cost Plus Incentive,27947182,7
1997,08:22.5,Defense,Navy,MED,Fixed Price Redetermination,42750,1
1997,08:22.5,Defense,Navy,Missiles & Space,Firm Fixed Price,707753191,354
1997,08:22.5,Defense,Navy,PAMS,Fixed Price Redetermination,2318888,26
1997,08:22.5,Defense,Navy,Ships,Firm Fixed Price,628045587,385
1997,08:22.5,Defense,Other DoD,Clothing & Subsistence,Firm Fixed Price,337508,7
1997,08:22.5,Defense,Other DoD,Electronics & Communications,Cost Sharing,1247752,2
1997,08:22.5,Defense,Other DoD,Electronics & Communications,Fixed Price Redetermination,260055,2
1997,08:22.5,Defense,Other DoD,ERS,Fixed Price Redetermination,82971,1
1997,08:22.5,Defense,Other DoD,FRS&C,Firm Fixed Price,39993972,213
1997,08:22.5,Defense,Other DoD,FRS&C,Time and Materials,386017,7
