fiscal_year,Query_Run_Date,SubCustomer,ServicesCategory,CompetitionClassification,ClassifyNumberOfOffers,SumOfobligatedAmount,SumOfnumberOfActions
2002,18:19.4,DLA,FRS&C,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,2003296,12
2002,18:19.4,DLA,Fuel,Limited Competition with multiple offers,25-99 Offers,398926355,119
2002,18:19.4,DLA,Fuel,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,12441442,13
2002,18:19.4,DLA,Fuel,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,-70030,2
2002,18:19.4,DLA,ICT,Full Competition (Multiple Offers),5-9 Offers,28000,1
2002,18:19.4,DLA,ICT,Full Competition (Multiple Offers),Two Offers,3216267,8
2002,18:19.4,DLA,ICT,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,178946186,337
2002,18:19.4,DLA,PAMS,No Competition (Unlabeled Exception),No competition,197941,8
2002,18:19.4,DLA,PAMS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,194165,7
2002,18:19.4,DLA,Products,Full Competition (Multiple Offers),3-4 Offers,1038216092,8789
2002,18:19.4,DLA,Products,Limited Competition with multiple offers,5-9 Offers,270446273,1036
2002,18:19.4,DLA,Products,No Competition (Only One Source Exception),No competition,975694484,5507
2002,18:19.4,DLA,R&D,Limited Competition with multiple offers,3-4 Offers,2125604,12
2002,18:19.4,MDA,PAMS,Limited Competition with multiple offers,3-4 Offers,5982298,46
2002,18:19.4,MDA,PAMS,No Competition (Unlabeled Exception),No competition,49993,1
2002,18:19.4,MDA,R&D,Full Competition (Multiple Offers),5-9 Offers,6244107,15
2002,18:19.4,MDA,R&D,Limited Competition with multiple offers,3-4 Offers,6619472,18
2002,18:19.4,MilitaryHealth,PAMS,No Competition (Other Exception),No competition,92560,1
2002,18:19.4,Navy,ERS,Competition with single offer (Overrode blank Fair Opportunity),One Offer,954615,20
2002,18:19.4,Navy,ERS,Limited Competition with multiple offers,25-99 Offers,12740,2
2002,18:19.4,Navy,ERS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,55604295,300
2002,18:19.4,Navy,ERS,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),524381,8
2002,18:19.4,Navy,ERS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,15876370,126
2002,18:19.4,Navy,FRS&C,Full Competition (Multiple Offers),25-99 Offers,81931234,393
2002,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,3-4 Offers,218552449,2673
2002,18:19.4,Navy,FRS&C,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,7021556,280
2002,18:19.4,Navy,FRS&C,No Competition (Unlabeled Exception),No competition,45109804,1887
2002,18:19.4,Navy,Fuel,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),210700,1
2002,18:19.4,Navy,ICT,Competition with single offer,One Offer,187862345.2,875
2002,18:19.4,Navy,ICT,No Competition (Follow on to competed action),No competition,87003,1
2002,18:19.4,Navy,ICT,No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),212803,3
2002,18:19.4,Navy,MED,Limited Competition with multiple offers,25-99 Offers,20172,1
2002,18:19.4,Navy,PAMS,Competition with single offer,One Offer,1184735530,5132
2002,18:19.4,Navy,Products,Full Competition (Multiple Offers),5-9 Offers,195881806.5,556
2002,18:19.4,Navy,Products,Limited Competition with multiple offers,Two Offers,1887799415,1342
1998,18:19.4,Army,PAMS,Limited Competition with multiple offers,25-99 Offers,59044228,444
1998,18:19.4,Army,PAMS,Limited Competition with multiple offers,3-4 Offers,539154286,1791
1998,18:19.4,Army,Products,Limited Competition with multiple offers,100+ Offers,45115325,282
1998,18:19.4,Army,Products,Limited Competition with multiple offers,3-4 Offers,495094124,1553
1998,18:19.4,Army,R&D,No Competition (Unlabeled Exception),No competition,12433463,101
1998,18:19.4,DLA,ERS,Competition with single offer,One Offer,950572,16
1998,18:19.4,DLA,ERS,Limited Competition with multiple offers,Two Offers,7055233,14
1998,18:19.4,DLA,FRS&C,Limited Competition with multiple offers,25-99 Offers,1314932,32
1998,18:19.4,DLA,FRS&C,Limited Competition with multiple offers,Two Offers,15861286,80
1998,18:19.4,DLA,Fuel,Limited Competition with multiple offers,10-24 Offers,558746461,72
1998,18:19.4,DLA,Fuel,Limited Competition with multiple offers,5-9 Offers,219450378,65
1998,18:19.4,DLA,Fuel,No Competition (Only One Source Exception),No competition,38230955,6
1998,18:19.4,DLA,Fuel,No Competition (Unlabeled Exception),No competition,573448,11
1998,18:19.4,DLA,ICT,Limited Competition with multiple offers,5-9 Offers,139122,3
1998,18:19.4,DLA,PAMS,Limited Competition with multiple offers,3-4 Offers,2406035,22
1998,18:19.4,DLA,Products,Limited Competition with multiple offers,100+ Offers,-5344,2
1998,18:19.4,DLA,Products,Limited Competition with multiple offers,3-4 Offers,850816613,6303
1998,18:19.4,MDA,Products,No Competition (Unlabeled Exception),No competition,194728,1
1998,18:19.4,MDA,R&D,Limited Competition with multiple offers,3-4 Offers,107283837,85
1998,18:19.4,MDA,R&D,Limited Competition with multiple offers,Two Offers,242687029,84
1998,18:19.4,MilitaryHealth,ERS,Limited Competition with multiple offers,Two Offers,-66702,1
1998,18:19.4,MilitaryHealth,ICT,No Competition (Only One Source Exception),No competition,214720,6
1998,18:19.4,MilitaryHealth,MED,Limited Competition with multiple offers,5-9 Offers,200000,1
1998,18:19.4,Navy,ERS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,2543294,22
1998,18:19.4,Navy,FRS&C,No Competition (Unlabeled Exception),No competition,9035599,125
1998,18:19.4,Navy,ICT,Limited Competition with multiple offers,25-99 Offers,144000,1
1998,18:19.4,Navy,ICT,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,964666,8
1998,18:19.4,Navy,MED,Limited Competition with multiple offers,25-99 Offers,574850,8
1998,18:19.4,Navy,PAMS,Competition with single offer,One Offer,643725535,2670
1998,18:19.4,Navy,PAMS,Limited Competition with multiple offers,10-24 Offers,118374032,831
1998,18:19.4,Navy,PAMS,Limited Competition with multiple offers,Two Offers,1673254126,7075
1998,18:19.4,Navy,PAMS,No Competition (Only One Source Exception),No competition,1489992444,1531
1998,18:19.4,Navy,Products,Competition with single offer,One Offer,287415030,1417
1998,18:19.4,Navy,Products,Limited Competition with multiple offers,10-24 Offers,11959004,108
1998,18:19.4,Navy,Products,Limited Competition with multiple offers,5-9 Offers,158245082,485
1998,18:19.4,Navy,Products,No Competition (Only One Source Exception),No competition,9231364555,5809
1998,18:19.4,Navy,R&D,Limited Competition with multiple offers,100+ Offers,2435469,4
1998,18:19.4,Other DoD,ERS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,8244956,39
1998,18:19.4,Other DoD,FRS&C,Limited Competition with multiple offers,10-24 Offers,1202777,8
1998,18:19.4,Other DoD,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,249300,4
1998,18:19.4,Other DoD,MED,Limited Competition with multiple offers,100+ Offers,183451,2
1998,18:19.4,Other DoD,PAMS,Limited Competition with multiple offers,100+ Offers,1248665,10
1998,18:19.4,Other DoD,Products,No Competition (Other Exception),No competition,97744197,144
1998,18:19.4,Other DoD,R&D,Limited Competition with multiple offers,10-24 Offers,10480344,28
1998,18:19.4,Other DoD,R&D,No Competition (Only One Source Exception),No competition,165618640,226
1999,18:19.4,Air Force,FRS&C,No Competition (Only One Source Exception),No competition,162044761,619
1999,18:19.4,Air Force,FRS&C,No Competition (Unlabeled Exception),No competition,447214796,1264
1999,18:19.4,Air Force,Fuel,No Competition (Other Exception),No competition,36582,1
1999,18:19.4,Air Force,MED,Limited Competition with multiple offers,100+ Offers,-327312,2
1999,18:19.4,Air Force,MED,Limited Competition with multiple offers,3-4 Offers,5489914,21
1999,18:19.4,Air Force,PAMS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,199929721,717
1999,18:19.4,Air Force,Products,Limited Competition with multiple offers,25-99 Offers,9301400,84
1999,18:19.4,Air Force,Products,Limited Competition with multiple offers,Two Offers,4205609740,3083
1999,18:19.4,Air Force,Products,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,597025628,5427
2002,18:19.4,Air Force,PAMS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,29773966,108
2002,18:19.4,Air Force,Products,Full Competition (Multiple Offers),25-99 Offers,1422063,46
2002,18:19.4,Air Force,Products,Full Competition (Multiple Offers),Two Offers,4767371318,1845
2002,18:19.4,Air Force,Products,Limited Competition with multiple offers,10-24 Offers,60988443,47
2002,18:19.4,Air Force,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,2467639,10
2002,18:19.4,Air Force,R&D,Limited Competition with multiple offers,25-99 Offers,64908897,258
2002,18:19.4,Air Force,R&D,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,12970867,101
2002,18:19.4,Air Force,R&D,No Competition (Follow on to competed action),No competition,2191702,4
2002,18:19.4,Air Force,R&D,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),650000,1
2002,18:19.4,Army,NULL,Limited Competition with multiple offers,Two Offers,324032.7,12
2002,18:19.4,Army,NULL,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),0,1
2002,18:19.4,Army,ERS,Limited Competition with multiple offers,Two Offers,63967074,292
2002,18:19.4,Army,ERS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,5651075,12
2002,18:19.4,Army,Fuel,Limited Competition with multiple offers,3-4 Offers,30415,1
2002,18:19.4,Army,Fuel,No Competition (Unlabeled Exception),No competition,856269,81
2002,18:19.4,Army,ICT,Competition with single offer,One Offer,138274545.6,850
2002,18:19.4,Army,ICT,Competition with single offer (Overrode blank Fair Opportunity),One Offer,20714105,86
2002,18:19.4,Army,ICT,Full Competition (Multiple Offers),3-4 Offers,114703035,365
2002,18:19.4,Army,ICT,Limited Competition with multiple offers,5-9 Offers,38114804,91
2002,18:19.4,Army,ICT,No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),-3805120,6
2002,18:19.4,Army,MED,Limited Competition with multiple offers,Two Offers,12888655,51
2002,18:19.4,Army,MED,No Competition (Follow on to competed action),No competition,13131321,8
2002,18:19.4,Army,PAMS,Limited Competition with multiple offers,25-99 Offers,57883107,410
2002,18:19.4,Army,Products,Full Competition (Multiple Offers),25-99 Offers,2626388,38
2002,18:19.4,Army,Products,Limited Competition with multiple offers,100+ Offers,400355,3
2002,18:19.4,Army,Products,Limited Competition with multiple offers,3-4 Offers,209956202.8,700
2002,18:19.4,Army,Products,No Competition (Unlabeled Exception),No competition,1580903025,7736
2002,18:19.4,Army,R&D,Limited Competition with multiple offers,25-99 Offers,44132768,194
2002,18:19.4,Army,R&D,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,6766590,46
2002,18:19.4,DLA,ERS,Limited Competition with multiple offers,Two Offers,2720662,26
2002,18:19.4,DLA,Fuel,Full Competition (Multiple Offers),25-99 Offers,791870587,161
2002,18:19.4,DLA,Fuel,Limited Competition with multiple offers,3-4 Offers,74389095,9
2002,18:19.4,DLA,Fuel,No Competition (Unlabeled Exception),No competition,6146314,21
2002,18:19.4,DLA,ICT,Competition with single offer,One Offer,19916327,33
2002,18:19.4,DLA,ICT,Competition with single offer (Overrode blank Fair Opportunity),One Offer,265382,2
2002,18:19.4,DLA,ICT,Full Competition (Multiple Offers),10-24 Offers,425231,3
2002,18:19.4,DLA,ICT,Limited Competition with multiple offers,5-9 Offers,83177,3
2002,18:19.4,DLA,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,397511,6
2002,18:19.4,DLA,PAMS,Limited Competition with multiple offers,25-99 Offers,443933,4
2002,18:19.4,DLA,Products,Full Competition (Multiple Offers),25-99 Offers,264717948,122
2002,18:19.4,DLA,Products,Full Competition (Multiple Offers),Two Offers,1429687967,21232
2002,18:19.4,DLA,Products,Limited Competition with multiple offers,3-4 Offers,305741107,2117
2002,18:19.4,DLA,Products,No Competition (Unlabeled Exception),No competition,289204410,2787
2002,18:19.4,MDA,Products,No Competition (Unlabeled Exception),No competition,2940,1
2002,18:19.4,MDA,R&D,Limited Competition with multiple offers,Two Offers,7216974,43
2002,18:19.4,MilitaryHealth,MED,Full Competition (Multiple Offers),Two Offers,2533726078,221
2002,18:19.4,Navy,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,2918100,6
2002,18:19.4,Navy,ERS,Full Competition (Multiple Offers),25-99 Offers,1377556,7
2002,18:19.4,Navy,ERS,Full Competition (Multiple Offers),Two Offers,1571951358,5399
2002,18:19.4,Navy,ERS,Limited Competition with multiple offers,3-4 Offers,128829472,873
2002,18:19.4,Navy,ERS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,1751220,3
2002,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,25-99 Offers,528158,67
2002,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,Two Offers,190694684.4,2106
2003,18:19.4,DLA,FRS&C,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,414999,14
2003,18:19.4,DLA,Fuel,Limited Competition with multiple offers,25-99 Offers,12377802,10
2003,18:19.4,DLA,Fuel,Limited Competition with multiple offers,5-9 Offers,85172621,10
2003,18:19.4,DLA,Fuel,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,10615500,2
2003,18:19.4,DLA,Fuel,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,1954345,8
2003,18:19.4,DLA,Fuel,No Competition (Only One Source Exception),No competition,205886049,16
2003,18:19.4,DLA,ICT,Full Competition (Multiple Offers),Two Offers,1813608,5
2003,18:19.4,DLA,ICT,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,14875.84,1
2003,18:19.4,DLA,ICT,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,244755026,280
2003,18:19.4,DLA,MED,Competition with single offer,One Offer,296340,3
2003,18:19.4,DLA,PAMS,Full Competition (Multiple Offers),25-99 Offers,3552464,9
2003,18:19.4,DLA,PAMS,Limited Competition with multiple offers,3-4 Offers,13536604,85
2003,18:19.4,DLA,PAMS,No Competition (Unlabeled Exception),No competition,735353,14
2003,18:19.4,DLA,Products,Limited Competition with multiple offers,5-9 Offers,628282491,1431
2003,18:19.4,DLA,Products,No Competition (Only One Source Exception),No competition,1017143863,6224
2003,18:19.4,DLA,Products,No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),26810,1
2003,18:19.4,DLA,R&D,Limited Competition with multiple offers,3-4 Offers,2594517,3
2003,18:19.4,MDA,FRS&C,Limited Competition with multiple offers,3-4 Offers,300000,2
2003,18:19.4,MDA,ICT,Competition with single offer,One Offer,4861437,5
2003,18:19.4,MDA,PAMS,Full Competition (Multiple Offers),5-9 Offers,1357056,4
2003,18:19.4,MDA,PAMS,Limited Competition with multiple offers,3-4 Offers,-190078,9
2003,18:19.4,MDA,Products,Limited Competition with multiple offers,Two Offers,40000,1
2003,18:19.4,MDA,R&D,Full Competition (Multiple Offers),Two Offers,39651573,23
2003,18:19.4,MilitaryHealth,ICT,Full Competition (Multiple Offers),3-4 Offers,-2160,2
2003,18:19.4,Navy,NULL,Competition with single offer (Overrode blank Fair Opportunity),One Offer,4388,1
2003,18:19.4,Navy,ERS,Competition with single offer (Overrode blank Fair Opportunity),One Offer,16552396,60
2003,18:19.4,Navy,ERS,Limited Competition with multiple offers,25-99 Offers,2488010,3
2003,18:19.4,Navy,ERS,No Competition (Unlabeled Exception),No competition,55940440,1307
2003,18:19.4,Navy,FRS&C,Full Competition (Multiple Offers),100+ Offers,49641540,208
2003,18:19.4,Navy,Fuel,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,5000,1
2003,18:19.4,Navy,ICT,Limited Competition with multiple offers,25-99 Offers,131294,3
2003,18:19.4,Navy,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,11919636,18
2003,18:19.4,Navy,MED,Full Competition (Multiple Offers),10-24 Offers,14001513,75
2003,18:19.4,Navy,MED,Limited Competition with multiple offers,Two Offers,3085853,60
2003,18:19.4,Navy,MED,No Competition (Follow on to competed action),No competition,4158012,36
2003,18:19.4,Navy,PAMS,Limited Competition with multiple offers,10-24 Offers,270452097.5,1726
2003,18:19.4,Navy,PAMS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,20622711,134
2003,18:19.4,Navy,PAMS,No Competition (Only One Source Exception),No competition,1158582540,1917
2003,18:19.4,Navy,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,8656960.14,53
2003,18:19.4,Navy,Products,No Competition (Unlabeled Exception),No competition,882662573,8171
2003,18:19.4,Navy,Products,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,392166577,708
2003,18:19.4,Navy,R&D,Limited Competition with multiple offers,10-24 Offers,51709487.64,274
2003,18:19.4,Navy,R&D,Limited Competition with multiple offers,5-9 Offers,48211382,192
2003,18:19.4,Navy,R&D,No Competition (Only One Source Exception),No competition,2881753026,1014
2003,18:19.4,Navy,R&D,No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),19332384,9
2003,18:19.4,Navy,R&D,No Competition (Other Exception),No competition,742604653,892
2003,18:19.4,Other DoD,ERS,Limited Competition with multiple offers,10-24 Offers,54649,1
2003,18:19.4,Other DoD,ERS,No Competition (Only One Source Exception),No competition,84922900,65
2003,18:19.4,Other DoD,ERS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,328250,7
2003,18:19.4,Other DoD,FRS&C,Competition with single offer (Overrode blank Fair Opportunity),One Offer,2752431,4
2003,18:19.4,Other DoD,FRS&C,Full Competition (Multiple Offers),10-24 Offers,1797491,6
2003,18:19.4,Other DoD,ICT,Full Competition (Multiple Offers),Two Offers,693862198.1,867
2003,18:19.4,Other DoD,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,11399741,32
2002,18:19.4,DLA,FRS&C,No Competition (Other Exception),No competition,11839529,101
2002,18:19.4,DLA,Fuel,Full Competition (Multiple Offers),Two Offers,48492030,176
2002,18:19.4,DLA,MED,Limited Competition with multiple offers,5-9 Offers,53520,1
2002,18:19.4,DLA,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,19647371,24
2002,18:19.4,DLA,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,11200000,2
2002,18:19.4,DLA,R&D,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,259000,3
2002,18:19.4,MDA,ICT,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,19265779,52
2002,18:19.4,MDA,PAMS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,7208277,32
2002,18:19.4,MDA,Products,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,579489,6
2002,18:19.4,MDA,R&D,No Competition (Other Exception),No competition,8101801,21
2002,18:19.4,Navy,NULL,Competition with single offer,One Offer,588324,9
2002,18:19.4,Navy,NULL,Full Competition (Multiple Offers),5-9 Offers,43557,2
2002,18:19.4,Navy,NULL,Limited Competition with multiple offers,Two Offers,26100000,2
2002,18:19.4,Navy,ERS,Competition with single offer,One Offer,458027233.8,1875
2002,18:19.4,Navy,ERS,Full Competition (Multiple Offers),5-9 Offers,367891421.4,1134
2002,18:19.4,Navy,FRS&C,Competition with single offer,One Offer,306548958,3511
2002,18:19.4,Navy,FRS&C,Full Competition (Multiple Offers),5-9 Offers,983281974,8050
2002,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,10-24 Offers,362358286,1205
2002,18:19.4,Navy,FRS&C,No Competition (Only One Source Exception),No competition,388021676,540
2002,18:19.4,Navy,Fuel,Competition with single offer,One Offer,110293,3
2002,18:19.4,Navy,Fuel,Full Competition (Multiple Offers),5-9 Offers,73637,1
2002,18:19.4,Navy,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,20523221,52
2002,18:19.4,Navy,ICT,No Competition (Other Exception),No competition,39592844,228
2002,18:19.4,Navy,MED,Full Competition (Multiple Offers),3-4 Offers,28138840,97
2002,18:19.4,Navy,MED,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,6233196,15
2002,18:19.4,Navy,MED,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,6297609,26
2002,18:19.4,Navy,PAMS,Full Competition (Multiple Offers),3-4 Offers,552104968,3390
2002,18:19.4,Navy,PAMS,Full Competition (Multiple Offers),Two Offers,858755614,4664
2002,18:19.4,Navy,PAMS,Limited Competition with multiple offers,25-99 Offers,26983791,329
2002,18:19.4,Navy,Products,Full Competition (Multiple Offers),10-24 Offers,10168370,92
2002,18:19.4,Navy,R&D,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,-1158888,7
2002,18:19.4,Other DoD,NULL,No Competition (Other Exception),No competition,0,1
2002,18:19.4,Other DoD,ERS,Full Competition (Multiple Offers),3-4 Offers,201830593,475
2002,18:19.4,Other DoD,ERS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,49842,2
2002,18:19.4,Other DoD,FRS&C,Limited Competition with multiple offers,3-4 Offers,11723175,45
2002,18:19.4,Other DoD,FRS&C,No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),9091150,1
2002,18:19.4,Other DoD,ICT,Competition with single offer,One Offer,346911914.3,375
2002,18:19.4,Other DoD,ICT,Full Competition (Multiple Offers),5-9 Offers,41658464,793
2002,18:19.4,Other DoD,ICT,Limited Competition with multiple offers,Two Offers,62448852,87
2002,18:19.4,Other DoD,ICT,No Competition (Follow on to competed action),No competition,4987352,14
2002,18:19.4,Other DoD,PAMS,Full Competition (Multiple Offers),5-9 Offers,52476969.25,238
2002,18:19.4,Other DoD,Products,Competition with single offer,One Offer,82739838,337
2002,18:19.4,Other DoD,Products,Full Competition (Multiple Offers),100+ Offers,39132,1
2002,18:19.4,Other DoD,Products,Full Competition (Multiple Offers),5-9 Offers,27869261,225
2002,18:19.4,Other DoD,R&D,Full Competition (Multiple Offers),Two Offers,173513270,136
2002,18:19.4,Other DoD,R&D,Limited Competition with multiple offers,25-99 Offers,13625270,40
2003,18:19.4,Air Force,NULL,Limited Competition with multiple offers,10-24 Offers,0,1
2003,18:19.4,Air Force,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,408046.6,8
2003,18:19.4,Air Force,NULL,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,589861,2
2003,18:19.4,Air Force,ERS,Competition with single offer,One Offer,242033463,364
2003,18:19.4,Air Force,ERS,Limited Competition with multiple offers,10-24 Offers,6255097,23
2003,18:19.4,Air Force,ERS,Limited Competition with multiple offers,Two Offers,13463999,75
2003,18:19.4,Air Force,ERS,No Competition (Follow on to competed action),No competition,31600799,31
2002,18:19.4,Navy,Products,No Competition (Follow on to competed action),No competition,20673907,24
2002,18:19.4,Navy,Products,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,653328043,279
2002,18:19.4,Navy,R&D,Full Competition (Multiple Offers),3-4 Offers,178444321,653
2002,18:19.4,Navy,R&D,Limited Competition with multiple offers,10-24 Offers,97382223,332
2002,18:19.4,Navy,R&D,Limited Competition with multiple offers,5-9 Offers,31046892.52,152
2002,18:19.4,Navy,R&D,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,3623298,23
2002,18:19.4,Navy,R&D,No Competition (Only One Source Exception),No competition,2783753214,1015
2002,18:19.4,Other DoD,NULL,Full Competition (Multiple Offers),25-99 Offers,0,2
2002,18:19.4,Other DoD,NULL,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,55734.5,2
2002,18:19.4,Other DoD,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,3425590,107
2002,18:19.4,Other DoD,PAMS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,55668288,124
2002,18:19.4,Other DoD,Products,Full Competition (Multiple Offers),3-4 Offers,134242862,402
2002,18:19.4,Other DoD,Products,No Competition (Other Exception),No competition,177300811,218
2002,18:19.4,Other DoD,R&D,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,0,1
2003,18:19.4,Air Force,ERS,Full Competition (Multiple Offers),10-24 Offers,3426076,21
2003,18:19.4,Air Force,ERS,Limited Competition with multiple offers,5-9 Offers,578624266,571
2003,18:19.4,Air Force,ERS,No Competition (Only One Source Exception),No competition,291918518.9,257
2003,18:19.4,Air Force,ERS,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),60410783,10
2003,18:19.4,Air Force,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,5149741,36
2003,18:19.4,Air Force,FRS&C,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,14655891,135
2003,18:19.4,Air Force,Fuel,Limited Competition with multiple offers,Two Offers,3549089,16
2003,18:19.4,Air Force,ICT,Limited Competition with multiple offers,10-24 Offers,15255804,96
2003,18:19.4,Air Force,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,2203392,23
2003,18:19.4,Air Force,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,660473,9
2003,18:19.4,Air Force,ICT,No Competition (Only One Source Exception),No competition,99635290,285
2003,18:19.4,Air Force,ICT,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,717807147,2255
2003,18:19.4,Air Force,MED,Competition with single offer,One Offer,9122060,85
2003,18:19.4,Air Force,PAMS,Full Competition (Multiple Offers),100+ Offers,15932646,96
2003,18:19.4,Air Force,PAMS,Limited Competition with multiple offers,10-24 Offers,248694232.8,852
2003,18:19.4,Air Force,PAMS,No Competition (Other Exception),No competition,2688025288,1290
2003,18:19.4,Air Force,PAMS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,1210206,15
2003,18:19.4,Air Force,PAMS,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,380106152.4,1403
2003,18:19.4,Air Force,Products,Competition with single offer (Overrode blank Fair Opportunity),One Offer,45111870,138
2003,18:19.4,Air Force,Products,Limited Competition with multiple offers,25-99 Offers,3303244,3
2003,18:19.4,Air Force,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,1344484,2
2003,18:19.4,Air Force,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,52823577,84
2003,18:19.4,Air Force,Products,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,16200634,93
2003,18:19.4,Air Force,Products,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),505580,7
2003,18:19.4,Air Force,Products,Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity),Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity),550453,8
2003,18:19.4,Air Force,R&D,Full Competition (Multiple Offers),100+ Offers,2503485,24
2003,18:19.4,Air Force,R&D,No Competition (Other Exception),No competition,1902250244,337
2003,18:19.4,Army,NULL,No Competition (Other Exception),No competition,44852355,22
