fiscal_year,Query_Run,Customer,Services Category,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1993,Defense,20:49.0,ERS,Cost Plus Incentive,101056297,NULL
1993,Defense,20:49.0,FRS&C,Labor Hours,3677660,NULL
1993,Defense,20:49.0,ICT,Cost Plus Fixed Fee,574554606,18
1993,Defense,20:49.0,ICT,Firm Fixed Price,2219809416,23
1993,Defense,20:49.0,MED,Cost Plus Award Fee,60000,NULL
1993,Defense,20:49.0,MED,Fixed Price Redetermination,298324027,NULL
1993,Defense,20:49.0,PAMS,Firm Fixed Price,4890219941,248
1993,Defense,20:49.0,PAMS,Fixed Price Incentive,104088358,NULL
1993,Defense,20:49.0,Products,NULL,8490227525,17
1993,Defense,20:49.0,Products,Firm Fixed Price,31061576726,368
1993,Defense,20:49.0,R&D,Cost Plus Incentive,2418627578,NULL
1994,Defense,20:49.0,ERS,Fixed Price Incentive,513003152,469
1994,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,386161191,2730
1994,Defense,20:49.0,ICT,Labor Hours,56448315,292
1994,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,2537556,8
1994,Defense,20:49.0,MED,Time and Materials,5158798,18
1994,Defense,20:49.0,PAMS,Cost Sharing,1634460,11
1994,Defense,20:49.0,R&D,Cost Sharing,144908537,276
1995,Defense,20:49.0,ERS,NULL,465717571,460
1995,Defense,20:49.0,ERS,Firm Fixed Price,4085186822,10677
1995,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1874531083,1443
1995,Defense,20:49.0,FRS&C,Cost Plus Incentive,66215783,46
1995,Defense,20:49.0,ICT,Fixed Price Incentive,22085583,3
1995,Defense,20:49.0,ICT,Time and Materials,698103923,2191
1995,Defense,20:49.0,MED,Fixed Price Incentive,162953263,187
1995,Defense,20:49.0,PAMS,Cost No Fee,105522182,242
1995,Defense,20:49.0,PAMS,Labor Hours,219652629,1107
1995,Defense,20:49.0,Products,NULL,7756029126,4763
1995,Defense,20:49.0,Products,Firm Fixed Price,25159989513,77671
1995,Defense,20:49.0,R&D,Cost No Fee,1122005570,1827
1995,Defense,20:49.0,R&D,Labor Hours,36341099,159
1996,Defense,20:49.0,FRS&C,Cost Sharing,530148,5
1996,Defense,20:49.0,Fuel,Cost Plus Fixed Fee,-1300000,1
1996,Defense,20:49.0,ICT,NULL,31457775,108
1996,Defense,20:49.0,ICT,Labor Hours,116840168,393
1996,Defense,20:49.0,MED,NULL,961625,8
1996,Defense,20:49.0,MED,Firm Fixed Price,1345711549,1741
1996,Defense,20:49.0,PAMS,Cost Sharing,4554618,19
1996,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,130155603,86
1996,Defense,20:49.0,PAMS,Time and Materials,1893074815,6426
1996,Defense,20:49.0,Products,Cost Plus Award Fee,1521955486,708
1996,Defense,20:49.0,R&D,Cost Sharing,107553437,241
1996,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,172178304,32
1996,Defense,20:49.0,R&D,Time and Materials,337395154,1591
1997,Defense,20:49.0,ERS,NULL,119079592,740
1997,Defense,20:49.0,ERS,Firm Fixed Price,4097625479,10038
1997,Defense,20:49.0,FRS&C,Cost No Fee,203928183,245
1997,Defense,20:49.0,ICT,Time and Materials,603346868,1804
1997,Defense,20:49.0,MED,Fixed Price Incentive,67118344,164
1997,Defense,20:49.0,PAMS,Cost No Fee,86436756,254
1997,Defense,20:49.0,PAMS,Labor Hours,250693390,1093
1997,Defense,20:49.0,Products,Fixed Price Redetermination,101797662,342
1997,Defense,20:49.0,R&D,Cost No Fee,1000763078,1489
1997,Defense,20:49.0,R&D,Labor Hours,51712327,161
1998,Defense,20:49.0,ERS,Cost Plus Award Fee,1399238495,1491
1998,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,365232125,870
1998,Defense,20:49.0,ICT,NULL,656510335,2968
1998,Defense,20:49.0,ICT,Fixed Price Redetermination,31673359,122
1998,Defense,20:49.0,MED,NULL,2900059,37
1993,Defense,20:49.0,MED,Time and Materials,212784,NULL
1993,Defense,20:49.0,PAMS,Cost Sharing,4835251,NULL
1993,Defense,20:49.0,R&D,Cost Sharing,148373930,NULL
1994,Defense,20:49.0,ERS,Time and Materials,566116436,1977
1994,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1401513251,1141
1994,Defense,20:49.0,FRS&C,Cost Plus Incentive,32259845,22
1994,Defense,20:49.0,Fuel,NULL,89764130,24
1994,Defense,20:49.0,Fuel,Firm Fixed Price,148817625,298
1994,Defense,20:49.0,ICT,Fixed Price Incentive,22670273,9
1994,Defense,20:49.0,MED,Fixed Price Incentive,139254841,136
1994,Defense,20:49.0,MED,Labor Hours,519257,4
1994,Defense,20:49.0,PAMS,Cost No Fee,118006470,227
1994,Defense,20:49.0,PAMS,Cost Plus Incentive,207102958,65
1994,Defense,20:49.0,Products,NULL,6817520598,4261
1994,Defense,20:49.0,Products,Firm Fixed Price,24122179755,71187
1994,Defense,20:49.0,R&D,Cost No Fee,865097277,1664
1994,Defense,20:49.0,R&D,Cost Plus Incentive,3438923541,577
1995,Defense,20:49.0,ERS,Fixed Price Incentive,256322610,177
1995,Defense,20:49.0,FRS&C,Cost Sharing,999598,9
1995,Defense,20:49.0,ICT,NULL,77857249,158
1995,Defense,20:49.0,ICT,Labor Hours,66597306,245
1995,Defense,20:49.0,MED,Time and Materials,4052250,8
1995,Defense,20:49.0,PAMS,Cost Sharing,1664355,12
1995,Defense,20:49.0,Products,Cost Plus Award Fee,1016016973,437
1995,Defense,20:49.0,R&D,Cost Sharing,262907645,313
1996,Defense,20:49.0,ERS,NULL,417567766,487
1996,Defense,20:49.0,ERS,Firm Fixed Price,3876386369,10501
1996,Defense,20:49.0,FRS&C,Cost No Fee,405048103,562
1996,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1771281089,1699
1996,Defense,20:49.0,FRS&C,Cost Plus Incentive,16696826,62
1996,Defense,20:49.0,ICT,Fixed Price Incentive,-724144,2
1996,Defense,20:49.0,ICT,Time and Materials,635442267,2162
1996,Defense,20:49.0,MED,Fixed Price Incentive,140889213,209
1996,Defense,20:49.0,PAMS,Cost No Fee,84009720,256
1996,Defense,20:49.0,PAMS,Labor Hours,232212691,1132
1996,Defense,20:49.0,Products,NULL,8320768703,4945
1996,Defense,20:49.0,Products,Firm Fixed Price,29731928320,89997
1996,Defense,20:49.0,Products,Fixed Price Redetermination,193457561,260
1996,Defense,20:49.0,R&D,Cost No Fee,990356590,1759
1996,Defense,20:49.0,R&D,Labor Hours,42091522,166
1997,Defense,20:49.0,ERS,Cost Plus Award Fee,1216162029,1046
1997,Defense,20:49.0,FRS&C,Cost Sharing,908685,1
1997,Defense,20:49.0,ICT,NULL,271655279,1473
1997,Defense,20:49.0,ICT,Labor Hours,109505010,460
1997,Defense,20:49.0,MED,NULL,1747518,34
1997,Defense,20:49.0,MED,Firm Fixed Price,2566603191,1993
1997,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,54840357,136
1997,Defense,20:49.0,PAMS,Time and Materials,1800247004,6586
1997,Defense,20:49.0,Products,Cost Plus Award Fee,2234886758,837
1997,Defense,20:49.0,Products,Cost Plus Fixed Fee,3664162291,1758
1997,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,134836791,24
1997,Defense,20:49.0,R&D,Time and Materials,340116628,1473
1994,Defense,20:49.0,ICT,NULL,57120405,162
1994,Defense,20:49.0,MED,NULL,632608,6
1994,Defense,20:49.0,PAMS,Cost Plus Award Fee,2036051652,3114
1994,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3743813980,10408
1994,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,234991113,61
1994,Defense,20:49.0,Products,Cost No Fee,290690857,93
1994,Defense,20:49.0,Products,Cost Plus Award Fee,535468623,331
1994,Defense,20:49.0,Products,Cost Plus Fixed Fee,1996062795,1702
1994,Defense,20:49.0,Products,Labor Hours,16013115,61
1994,Defense,20:49.0,R&D,Time and Materials,345557211,1767
1995,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,708091916,99
1995,Defense,20:49.0,FRS&C,Cost No Fee,589151146,549
1995,Defense,20:49.0,Fuel,Firm Fixed Price,146698133,284
1995,Defense,20:49.0,PAMS,Fixed Price Incentive,109990942,140
1995,Defense,20:49.0,Products,Fixed Price Redetermination,62289460,166
1995,Defense,20:49.0,Products,Time and Materials,207821011,720
1995,Defense,20:49.0,R&D,Cost Plus Incentive,2897081000,519
1996,Defense,20:49.0,ERS,Fixed Price Incentive,360088366,143
1996,Defense,20:49.0,FRS&C,Firm Fixed Price,13494099148,43412
1996,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,325231773,1674
1996,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,189183313,25
1996,Defense,20:49.0,Products,Cost Plus Fixed Fee,1611819101,1279
1996,Defense,20:49.0,R&D,NULL,236956552,197
1997,Defense,20:49.0,ERS,Cost Plus Incentive,302555111,50
1997,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,347066752,71
1997,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1684481252,1821
1997,Defense,20:49.0,FRS&C,Cost Plus Incentive,12527570,57
1997,Defense,20:49.0,Fuel,Firm Fixed Price,119933734,409
1997,Defense,20:49.0,ICT,Firm Fixed Price,2408799782,9619
1997,Defense,20:49.0,ICT,Fixed Price Incentive,27822310,17
1997,Defense,20:49.0,PAMS,Fixed Price Incentive,227215112,351
1997,Defense,20:49.0,Products,NULL,1910603997,15490
1997,Defense,20:49.0,R&D,Cost Plus Incentive,1400910284,447
1998,Defense,20:49.0,ERS,Fixed Price Incentive,223639739,155
1998,Defense,20:49.0,FRS&C,NULL,94585041,384
1998,Defense,20:49.0,FRS&C,Firm Fixed Price,13269890944,41906
1998,Defense,20:49.0,ICT,Cost Plus Award Fee,592819145,932
1998,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,330670814,1479
1998,Defense,20:49.0,ICT,Labor Hours,125194732,435
1998,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,3145227,5
1998,Defense,20:49.0,PAMS,Cost Sharing,33537799,34
1998,Defense,20:49.0,PAMS,Firm Fixed Price,5191340694,22503
1998,Defense,20:49.0,Products,Cost Sharing,5053663,9
1998,Defense,20:49.0,Products,Fixed Price Incentive,5312634838,1082
1998,Defense,20:49.0,R&D,NULL,18486302,80
1999,Defense,20:49.0,ERS,Cost Plus Incentive,128381046,43
1999,Defense,20:49.0,ERS,Firm Fixed Price,3935086853,10002
1999,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1726310390,1875
1999,Defense,20:49.0,FRS&C,Cost Plus Incentive,39049820,51
1994,Defense,20:49.0,FRS&C,NULL,175708563,302
1994,Defense,20:49.0,FRS&C,Time and Materials,191268260,553
1994,Defense,20:49.0,Fuel,Cost No Fee,62032,1
1994,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,4311208494,1062
1994,Defense,20:49.0,ICT,Cost Plus Award Fee,440369004,437
1994,Defense,20:49.0,ICT,Cost Plus Fixed Fee,631173223,2161
1994,Defense,20:49.0,PAMS,NULL,1096532789,894
1994,Defense,20:49.0,PAMS,Firm Fixed Price,4677356711,19523
1994,Defense,20:49.0,Products,Cost Sharing,2856138,14
1994,Defense,20:49.0,Products,Fixed Price Incentive,9398672605,1949
1994,Defense,20:49.0,R&D,Firm Fixed Price,2246676125,2850
1995,Defense,20:49.0,ERS,Cost Sharing,429869968,20
1995,Defense,20:49.0,FRS&C,Fixed Price Incentive,378797440,234
1995,Defense,20:49.0,MED,Cost Plus Fixed Fee,18773427,51
1995,Defense,20:49.0,PAMS,NULL,799084922,1045
1995,Defense,20:49.0,PAMS,Cost Plus Award Fee,2151075267,3321
1995,Defense,20:49.0,Products,Cost No Fee,70793027,58
1995,Defense,20:49.0,Products,Cost Plus Incentive,1516343642,240
1995,Defense,20:49.0,R&D,NULL,287503228,264
1995,Defense,20:49.0,R&D,Cost Plus Award Fee,5178347438,2034
1995,Defense,20:49.0,R&D,Firm Fixed Price,2075367143,2824
1995,Defense,20:49.0,R&D,Fixed Price Redetermination,6131118,31
1996,Defense,20:49.0,ERS,Cost Plus Incentive,141469949,29
1996,Defense,20:49.0,FRS&C,Labor Hours,5467002,38
1996,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,4160233058,12109
1996,Defense,20:49.0,R&D,Cost Plus Award Fee,7008768830,2198
1997,Defense,20:49.0,FRS&C,NULL,275958771,945
1997,Defense,20:49.0,FRS&C,Fixed Price Redetermination,174495039,239
1997,Defense,20:49.0,FRS&C,Time and Materials,63197972,344
1997,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,4064241105,773
1997,Defense,20:49.0,ICT,Cost Plus Award Fee,715218966,885
1997,Defense,20:49.0,ICT,Cost Sharing,808600,8
1997,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,4460197488,12739
1997,Defense,20:49.0,PAMS,Fixed Price Redetermination,60343732,115
1997,Defense,20:49.0,Products,Cost Sharing,3396357,10
1997,Defense,20:49.0,Products,Fixed Price Incentive,3083311920,1390
1997,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6969989802,13159
1998,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,2679986172,692
1998,Defense,20:49.0,ICT,Cost No Fee,54567685,133
1998,Defense,20:49.0,ICT,Cost Plus Incentive,-155974,3
1998,Defense,20:49.0,ICT,Cost Sharing,562531,5
1998,Defense,20:49.0,PAMS,Cost Plus Award Fee,2575208940,3440
1998,Defense,20:49.0,PAMS,Fixed Price Redetermination,58832777,133
1998,Defense,20:49.0,Products,Cost No Fee,2102839765,2204
1998,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1105124123,2008
1998,Defense,20:49.0,Products,Labor Hours,66209770,176
1998,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6940812900,12932
1998,Defense,20:49.0,R&D,Fixed Price Redetermination,3769735,29
1999,Defense,20:49.0,ERS,Cost No Fee,74648693,83
1999,Defense,20:49.0,ERS,Cost Sharing,-133024,1
1993,Defense,20:49.0,ICT,Fixed Price Redetermination,5197757,NULL
1993,Defense,20:49.0,MED,Cost Plus Fixed Fee,5604877,NULL
1993,Defense,20:49.0,PAMS,NULL,895811571,4
1993,Defense,20:49.0,Products,Cost Plus Incentive,2141014556,10
1993,Defense,20:49.0,R&D,NULL,509732342,2
1993,Defense,20:49.0,R&D,Firm Fixed Price,2477542080,5
1994,Defense,20:49.0,ERS,Cost Plus Incentive,60572441,21
1994,Defense,20:49.0,FRS&C,Fixed Price Incentive,173549407,178
1994,Defense,20:49.0,FRS&C,Labor Hours,2950826,23
1994,Defense,20:49.0,ICT,Firm Fixed Price,2388137609,9571
1994,Defense,20:49.0,MED,Cost Plus Fixed Fee,8237181,15
1994,Defense,20:49.0,MED,Fixed Price Redetermination,302207021,24
1994,Defense,20:49.0,Products,Cost Plus Incentive,2195795025,288
1994,Defense,20:49.0,R&D,NULL,210474576,232
1994,Defense,20:49.0,R&D,Cost Plus Award Fee,4201598504,1959
1995,Defense,20:49.0,ERS,Cost Plus Incentive,95161981,31
1995,Defense,20:49.0,FRS&C,NULL,162873656,308
1995,Defense,20:49.0,FRS&C,Labor Hours,4031586,36
1995,Defense,20:49.0,FRS&C,Time and Materials,112537666,415
1995,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,3311956582,1039
1995,Defense,20:49.0,ICT,Cost Plus Award Fee,452353920,702
1995,Defense,20:49.0,ICT,Firm Fixed Price,2424034214,9460
1995,Defense,20:49.0,PAMS,Firm Fixed Price,4284096669,20486
1995,Defense,20:49.0,PAMS,Fixed Price Redetermination,16931131,100
1995,Defense,20:49.0,Products,Cost Sharing,1988095,10
1995,Defense,20:49.0,Products,Fixed Price Incentive,7806560231,1972
1996,Defense,20:49.0,ERS,Cost Sharing,250000,1
1996,Defense,20:49.0,FRS&C,NULL,164689313,310
1996,Defense,20:49.0,FRS&C,Time and Materials,56952565,312
1996,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,3705239951,1059
1996,Defense,20:49.0,ICT,Cost Plus Award Fee,476007812,875
1996,Defense,20:49.0,ICT,Cost Sharing,1844147,12
1996,Defense,20:49.0,PAMS,Cost Plus Award Fee,2538518093,3203
1996,Defense,20:49.0,PAMS,Firm Fixed Price,4048101187,21362
1996,Defense,20:49.0,PAMS,Fixed Price Redetermination,20159386,133
1996,Defense,20:49.0,Products,Cost No Fee,83261309,58
1996,Defense,20:49.0,Products,Cost Sharing,1421981,5
1996,Defense,20:49.0,Products,Fixed Price Incentive,3868710919,1690
1996,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,952761931,2240
1996,Defense,20:49.0,Products,Labor Hours,30413255,79
1996,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6454738676,13855
1996,Defense,20:49.0,R&D,Fixed Price Redetermination,19810923,24
1997,Defense,20:49.0,ERS,Cost No Fee,15649239,24
1997,Defense,20:49.0,ERS,Cost Sharing,770916,3
1997,Defense,20:49.0,Fuel,Fixed Price Incentive,1560192,1
1997,Defense,20:49.0,ICT,Cost No Fee,25761477,78
1997,Defense,20:49.0,PAMS,Cost Plus Award Fee,2521402388,3310
1997,Defense,20:49.0,Products,Cost No Fee,2572720053,2571
1997,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1106589562,2233
1997,Defense,20:49.0,Products,Labor Hours,64230496,156
1994,Defense,20:49.0,ERS,Labor Hours,9120962,63
1994,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,918766591,836
1994,Defense,20:49.0,MED,Cost Sharing,178712,1
1994,Defense,20:49.0,MED,Firm Fixed Price,370645801,1316
1994,Defense,20:49.0,PAMS,Fixed Price Incentive,85705770,119
1994,Defense,20:49.0,PAMS,Time and Materials,1497571328,5884
1994,Defense,20:49.0,Products,Time and Materials,216410127,793
1994,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,304503190,50
1994,Defense,20:49.0,R&D,Labor Hours,179789450,133
1995,Defense,20:49.0,ERS,Time and Materials,599313832,2213
1995,Defense,20:49.0,FRS&C,Fixed Price Redetermination,85955898,245
1995,Defense,20:49.0,Fuel,NULL,61488910,3
1995,Defense,20:49.0,ICT,Cost Plus Fixed Fee,693247045,2014
1995,Defense,20:49.0,MED,NULL,449657,4
1995,Defense,20:49.0,MED,Cost Plus Award Fee,495884,2
1995,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,1900058,11
1995,Defense,20:49.0,MED,Labor Hours,776470,11
1995,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3916965603,11452
1995,Defense,20:49.0,Products,Cost Plus Fixed Fee,1173022466,1391
1995,Defense,20:49.0,R&D,Fixed Price Incentive,1688103222,446
1995,Defense,20:49.0,R&D,Time and Materials,431264392,1744
1996,Defense,20:49.0,ERS,Cost Plus Fixed Fee,1035808551,1350
1996,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,307139112,1037
1996,Defense,20:49.0,ICT,Cost Plus Incentive,80981889,19
1996,Defense,20:49.0,ICT,Fixed Price Redetermination,17824613,63
1996,Defense,20:49.0,MED,Time and Materials,59583591,23
1996,Defense,20:49.0,PAMS,NULL,1019462155,1234
1996,Defense,20:49.0,R&D,Firm Fixed Price,2343314560,3273
1997,Defense,20:49.0,ERS,Fixed Price Redetermination,9176390,45
1997,Defense,20:49.0,FRS&C,Firm Fixed Price,13765827749,41890
1997,Defense,20:49.0,FRS&C,Fixed Price Incentive,169970719,210
1997,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,178399865,1429
1997,Defense,20:49.0,MED,Cost Plus Fixed Fee,10816510,93
1997,Defense,20:49.0,PAMS,Cost Plus Incentive,95184556,195
1997,Defense,20:49.0,Products,Cost Plus Incentive,2526168358,293
1997,Defense,20:49.0,R&D,NULL,27152453,114
1998,Defense,20:49.0,ERS,Cost Plus Incentive,1338918374,37
1998,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1637774582,1763
1998,Defense,20:49.0,FRS&C,Labor Hours,14568509,52
1998,Defense,20:49.0,Fuel,Firm Fixed Price,417117066,461
1998,Defense,20:49.0,Fuel,Fixed Price Redetermination,244350,1
1998,Defense,20:49.0,ICT,Firm Fixed Price,2182773974,8093
1998,Defense,20:49.0,ICT,Fixed Price Incentive,4073063,5
1998,Defense,20:49.0,MED,Fixed Price Redetermination,256741814,9
1998,Defense,20:49.0,R&D,Cost Plus Incentive,1170246424,436
1999,Defense,20:49.0,ERS,Fixed Price Incentive,201750180,142
1999,Defense,20:49.0,FRS&C,NULL,110320973,442
1999,Defense,20:49.0,FRS&C,Time and Materials,109645764,359
1999,Defense,20:49.0,Fuel,Cost No Fee,938652,1
1999,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,2527104862,745
1993,Defense,20:49.0,FRS&C,Fixed Price Redetermination,78171406,5
1993,Defense,20:49.0,MED,NULL,1367552,NULL
1993,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3911312631,86
1993,Defense,20:49.0,Products,Cost Plus Fixed Fee,2803493824,9
1993,Defense,20:49.0,R&D,Fixed Price Incentive,2581974111,NULL
1993,Defense,20:49.0,R&D,Time and Materials,328749063,NULL
1994,Defense,20:49.0,ERS,Cost Plus Fixed Fee,966728423,1185
1994,Defense,20:49.0,FRS&C,Cost No Fee,667797559,547
1994,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,221552580,710
1994,Defense,20:49.0,ICT,Cost Plus Incentive,79938802,15
1994,Defense,20:49.0,ICT,Cost Sharing,5333183,15
1994,Defense,20:49.0,ICT,Fixed Price Redetermination,1316301,54
1994,Defense,20:49.0,PAMS,Fixed Price Redetermination,7057698,80
1994,Defense,20:49.0,Products,Fixed Price Redetermination,23544376,108
1994,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6191239883,12160
1995,Defense,20:49.0,ERS,Fixed Price Redetermination,2534935,29
1995,Defense,20:49.0,FRS&C,Firm Fixed Price,12712960963,40269
1995,Defense,20:49.0,Fuel,Fixed Price Incentive,-2840754,1
1995,Defense,20:49.0,ICT,Cost No Fee,27836416,25
1995,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,361706924,2537
1995,Defense,20:49.0,PAMS,Cost Plus Incentive,199323814,88
1995,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,154511313,81
1995,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1385076720,2485
1995,Defense,20:49.0,Products,Labor Hours,18374823,55
1996,Defense,20:49.0,ERS,Cost No Fee,25493033,38
1996,Defense,20:49.0,ERS,Cost Plus Award Fee,879226942,769
1996,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,292045505,73
1996,Defense,20:49.0,ERS,Labor Hours,10871135,65
1996,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1104443695,1103
1996,Defense,20:49.0,Fuel,Firm Fixed Price,124745031,410
1996,Defense,20:49.0,ICT,Firm Fixed Price,2965771949,12445
1996,Defense,20:49.0,MED,Fixed Price Redetermination,441917,6
1996,Defense,20:49.0,PAMS,Fixed Price Incentive,61939584,146
1996,Defense,20:49.0,Products,Time and Materials,183351325,649
1996,Defense,20:49.0,R&D,Cost Plus Incentive,1788518278,511
1997,Defense,20:49.0,ERS,Fixed Price Incentive,299943571,98
1997,Defense,20:49.0,ERS,Time and Materials,687649756,1467
1997,Defense,20:49.0,Fuel,NULL,3007121,23
1997,Defense,20:49.0,Fuel,Cost No Fee,343144,2
1997,Defense,20:49.0,ICT,Cost Plus Fixed Fee,677005656,2091
1997,Defense,20:49.0,MED,Cost No Fee,908658,8
1997,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,380748,4
1997,Defense,20:49.0,MED,Labor Hours,637757,15
1997,Defense,20:49.0,PAMS,Cost Sharing,6484007,24
1997,Defense,20:49.0,PAMS,Firm Fixed Price,4664742759,21171
1997,Defense,20:49.0,Products,Firm Fixed Price,27585103178,76101
1997,Defense,20:49.0,R&D,Fixed Price Incentive,49517055,77
1998,Defense,20:49.0,ERS,Cost Plus Fixed Fee,858228666,1247
1994,Defense,20:49.0,FRS&C,Fixed Price Redetermination,136964439,223
1994,Defense,20:49.0,Fuel,Time and Materials,34349,1
1994,Defense,20:49.0,ICT,Cost No Fee,37902267,82
1994,Defense,20:49.0,ICT,Time and Materials,654000953,1868
1994,Defense,20:49.0,MED,Cost No Fee,192000,1
1994,Defense,20:49.0,MED,Cost Plus Award Fee,27661,1
1994,Defense,20:49.0,PAMS,Labor Hours,262143157,1098
1994,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1347740441,2745
1994,Defense,20:49.0,R&D,Fixed Price Incentive,2376085622,504
1994,Defense,20:49.0,R&D,Fixed Price Redetermination,225863399,28
1995,Defense,20:49.0,ERS,Cost No Fee,34549974,48
1995,Defense,20:49.0,ERS,Cost Plus Award Fee,925580709,876
1995,Defense,20:49.0,ERS,Cost Plus Fixed Fee,733775878,1167
1995,Defense,20:49.0,ERS,Labor Hours,10007098,65
1995,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1054717862,959
1995,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,231699221,871
1995,Defense,20:49.0,ICT,Cost Plus Incentive,56503367,21
1995,Defense,20:49.0,ICT,Cost Sharing,1007195,10
1995,Defense,20:49.0,ICT,Fixed Price Redetermination,60384523,68
1995,Defense,20:49.0,MED,Firm Fixed Price,1522756467,1493
1995,Defense,20:49.0,MED,Fixed Price Redetermination,17434568,13
1995,Defense,20:49.0,PAMS,Time and Materials,1867120954,6606
1995,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6565424382,13264
1995,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,232095987,28
1996,Defense,20:49.0,ERS,Fixed Price Redetermination,8668561,46
1996,Defense,20:49.0,ERS,Time and Materials,589438889,2089
1996,Defense,20:49.0,FRS&C,Fixed Price Incentive,278550023,310
1996,Defense,20:49.0,FRS&C,Fixed Price Redetermination,76029877,271
1996,Defense,20:49.0,Fuel,NULL,66611270,8
1996,Defense,20:49.0,ICT,Cost No Fee,11692017,64
1996,Defense,20:49.0,ICT,Cost Plus Fixed Fee,668829235,1994
1996,Defense,20:49.0,MED,Cost No Fee,79695,2
1996,Defense,20:49.0,MED,Cost Plus Award Fee,1936453,3
1996,Defense,20:49.0,MED,Cost Plus Fixed Fee,10761894,17
1996,Defense,20:49.0,MED,Labor Hours,145712,5
1996,Defense,20:49.0,PAMS,Cost Plus Incentive,273439924,109
1996,Defense,20:49.0,Products,Cost Plus Incentive,1798290580,233
1996,Defense,20:49.0,R&D,Fixed Price Incentive,-111337715,281
1997,Defense,20:49.0,ERS,Cost Plus Fixed Fee,1026244912,1234
1997,Defense,20:49.0,ERS,Labor Hours,14365739,46
1997,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,887546924,1078
1997,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,242532524,633
1997,Defense,20:49.0,FRS&C,Labor Hours,1797958,24
1997,Defense,20:49.0,ICT,Cost Plus Incentive,2761710,2
1997,Defense,20:49.0,ICT,Fixed Price Redetermination,5310626,42
1997,Defense,20:49.0,MED,Fixed Price Redetermination,484585,4
1997,Defense,20:49.0,MED,Time and Materials,4603149,5
1997,Defense,20:49.0,PAMS,NULL,225611333,987
1997,Defense,20:49.0,R&D,Cost Sharing,85218693,185
1998,Defense,20:49.0,FRS&C,Cost Plus Incentive,6903090,35
1998,Defense,20:49.0,MED,Fixed Price Incentive,70533844,118
1998,Defense,20:49.0,MED,Time and Materials,221048,3
