fiscal_year,Query_Run,Customer,SubCustomer,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1997,00:36.7,Defense,Army,Labor Hours,41900914,283
1997,00:36.7,Defense,DLA,Cost No Fee,7251816,47
1997,00:36.7,Defense,DLA,Cost Sharing,548675,4
1997,00:36.7,Defense,DLA,Fixed Price Incentive,7631965,14
1997,00:36.7,Defense,DLA,Labor Hours,262854,4
1997,00:36.7,Defense,MilitaryHealth,Cost Plus Fixed Fee,232964,2
1997,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,1807763764,199
1997,00:36.7,Defense,Navy,NULL,983022686,4416
1997,00:36.7,Defense,Navy,Cost Plus Award Fee,4141327471,4644
1997,00:36.7,Defense,Other DoD,Time and Materials,379187904,734
1998,00:36.7,Defense,Air Force,Fixed Price Redetermination,45231878,207
1998,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,812848992,907
1998,00:36.7,Defense,Army,Labor Hours,53598908,289
1998,00:36.7,Defense,Army,Time and Materials,1395471243,4596
1998,00:36.7,Defense,DLA,NULL,245648341,1191
1998,00:36.7,Defense,DLA,Cost No Fee,8379092,30
1998,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,3204609188,1996
1998,00:36.7,Defense,DLA,Labor Hours,1274435,4
1998,00:36.7,Defense,DLA,Time and Materials,27406343,110
1998,00:36.7,Defense,MilitaryHealth,Fixed Price Redetermination,256741814,9
1998,00:36.7,Defense,Navy,Cost Plus Fixed Fee,9248513773,17892
1999,00:36.7,Defense,Air Force,NULL,1037251324,7622
1999,00:36.7,Defense,Air Force,Fixed Price Redetermination,72949290,211
1999,00:36.7,Defense,Army,NULL,1319995851,8930
1999,00:36.7,Defense,Army,Time and Materials,1441468957,4797
1999,00:36.7,Defense,DLA,NULL,449071401,1455
1999,00:36.7,Defense,DLA,Time and Materials,19790198,72
1999,00:36.7,Defense,MDA,NULL,4243760,12
1999,00:36.7,Defense,MilitaryHealth,Fixed Price Redetermination,79280139,7
1999,00:36.7,Defense,Navy,Cost Plus Fixed Fee,9332579122,19090
1999,00:36.7,Defense,Navy,Fixed Price Redetermination,92865346,419
1994,00:36.7,Defense,Other DoD,Fixed Price Redetermination,23311328,32
1994,00:36.7,Defense,Other DoD,Time and Materials,562369211,1084
1995,00:36.7,Defense,Army,Cost Sharing,67910824,104
1995,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,3527136874,2106
1995,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,11522306,26
1995,00:36.7,Defense,Navy,Time and Materials,1051284809,5463
1995,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,824639224,1069
1996,00:36.7,Defense,Air Force,Cost Sharing,49585019,121
1996,00:36.7,Defense,Air Force,Fixed Price Redetermination,192515862,167
1996,00:36.7,Defense,Army,NULL,2075368559,1625
1996,00:36.7,Defense,DLA,NULL,147530631,621
1996,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,1082691689,164
1996,00:36.7,Defense,Navy,Cost No Fee,184971822,446
1996,00:36.7,Defense,Navy,Labor Hours,70938807,395
1996,00:36.7,Defense,Other DoD,Time and Materials,383252238,821
1997,00:36.7,Defense,Air Force,Cost No Fee,3294411814,3242
1997,00:36.7,Defense,Army,Cost Plus Incentive,1398138769,431
1997,00:36.7,Defense,Army,Cost Sharing,32062415,50
1997,00:36.7,Defense,DLA,Cost Plus Incentive,960512,6
1997,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,4263986411,2168
1997,00:36.7,Defense,MDA,Cost Plus Fixed Fee,326836336,285
1997,00:36.7,Defense,MDA,Time and Materials,-502194,1
1997,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,619777,9
1997,00:36.7,Defense,Navy,Time and Materials,759503047,3859
1997,00:36.7,Defense,Other DoD,Cost Sharing,6258115,11
1998,00:36.7,Defense,Air Force,Cost Sharing,51881039,101
1998,00:36.7,Defense,Air Force,Fixed Price Incentive,1150279331,522
1998,00:36.7,Defense,Army,NULL,877714754,7135
1998,00:36.7,Defense,Army,Cost No Fee,390982280,884
1998,00:36.7,Defense,MilitaryHealth,NULL,1083766,10
1998,00:36.7,Defense,Navy,Cost Plus Incentive,3257443739,335
1998,00:36.7,Defense,Other DoD,NULL,278047906,1800
1999,00:36.7,Defense,Air Force,Cost No Fee,1760618294,2425
1999,00:36.7,Defense,Air Force,Labor Hours,275761040,967
1999,00:36.7,Defense,Army,Cost Plus Incentive,1063279276,422
1999,00:36.7,Defense,Army,Firm Fixed Price,21369112150,55460
1999,00:36.7,Defense,DLA,Firm Fixed Price,4092551973,36179
1999,00:36.7,Defense,MDA,Cost Plus Fixed Fee,155101911,261
1999,00:36.7,Defense,Navy,NULL,1934623810,9393
1999,00:36.7,Defense,Other DoD,Cost Sharing,9707539,13
2000,00:36.7,Defense,NULL,Firm Fixed Price,0,NULL
2000,00:36.7,Defense,Air Force,Combination (two or more),6245785,9
2000,00:36.7,Defense,Air Force,Fixed Price Incentive,627903853,408
2000,00:36.7,Defense,Air Force,Not Reported,1400163888,7809
2000,00:36.7,Defense,Air Force,Time and Materials,1832953589,4078
2000,00:36.7,Defense,Army,Cost No Fee,766740299,1087
2000,00:36.7,Defense,MDA,Fixed Price Redetermination,12977500,2
2000,00:36.7,Defense,MDA,Not Reported,6332286,22
1995,00:36.7,Defense,Air Force,Fixed Price Redetermination,52427522,161
1995,00:36.7,Defense,Army,NULL,1699316094,1537
1995,00:36.7,Defense,Army,Time and Materials,899968969,3935
1995,00:36.7,Defense,DLA,NULL,146670409,395
1995,00:36.7,Defense,DLA,Time and Materials,15090343,54
1995,00:36.7,Defense,MDA,Cost Plus Award Fee,20460858,27
1995,00:36.7,Defense,MDA,Cost Sharing,700000,1
1995,00:36.7,Defense,Navy,Cost Plus Fixed Fee,7246355172,18120
1995,00:36.7,Defense,Other DoD,Fixed Price Redetermination,5749862,48
1996,00:36.7,Defense,DLA,Cost Plus Fixed Fee,68404194,310
1996,00:36.7,Defense,MDA,Cost No Fee,4719163,11
1996,00:36.7,Defense,Navy,Fixed Price Redetermination,57273541,256
1996,00:36.7,Defense,Other DoD,Cost Plus Incentive,14090738,14
1997,00:36.7,Defense,Air Force,Cost Sharing,36399674,98
1997,00:36.7,Defense,Air Force,Firm Fixed Price,17133504314,32808
1997,00:36.7,Defense,Air Force,Fixed Price Incentive,954060998,641
1997,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,51392422,113
1997,00:36.7,Defense,Navy,Cost Plus Incentive,2310875785,360
1997,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,379183318,213
1998,00:36.7,Defense,Air Force,Cost No Fee,2907024344,2863
1998,00:36.7,Defense,Air Force,Cost Plus Award Fee,7434609518,2450
1998,00:36.7,Defense,Air Force,Labor Hours,397728874,1343
1998,00:36.7,Defense,Army,Cost Plus Incentive,1362382319,454
1998,00:36.7,Defense,Army,Cost Sharing,50583392,68
1998,00:36.7,Defense,Army,Fixed Price Redetermination,138592553,329
1998,00:36.7,Defense,DLA,Fixed Price Redetermination,7948460,68
1998,00:36.7,Defense,MDA,Cost Plus Fixed Fee,251960597,273
1998,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,22153567,9
1998,00:36.7,Defense,Navy,Fixed Price Incentive,4862630549,1242
1998,00:36.7,Defense,Navy,Time and Materials,763597143,3444
1998,00:36.7,Defense,Other DoD,Cost Plus Award Fee,374378120,238
1998,00:36.7,Defense,Other DoD,Cost Sharing,11745352,10
1999,00:36.7,Defense,Air Force,Time and Materials,1616027713,3516
1999,00:36.7,Defense,Army,Cost No Fee,574749455,857
1999,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,393216748,697
1999,00:36.7,Defense,MilitaryHealth,NULL,3918444,21
1999,00:36.7,Defense,Navy,Cost Sharing,19320264,52
1999,00:36.7,Defense,Navy,Firm Fixed Price,13064585743,38420
1999,00:36.7,Defense,Other DoD,NULL,413969899,2274
1999,00:36.7,Defense,Other DoD,Cost No Fee,44414981,119
2000,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2872556695,6392
2000,00:36.7,Defense,Air Force,Fixed Price Award Fee,114364677,102
2000,00:36.7,Defense,Air Force,Other (none of the above),0,1
2000,00:36.7,Defense,Army,Firm Fixed Price,22379073033,62050
2000,00:36.7,Defense,Army,Fixed Price Incentive,326281633,59
2000,00:36.7,Defense,DLA,Cost Sharing,592005,3
2000,00:36.7,Defense,DLA,Firm Fixed Price,4572031989,40597
1995,00:36.7,Defense,DLA,Cost No Fee,8034843,59
1995,00:36.7,Defense,DLA,Cost Plus Fixed Fee,35437603,151
1995,00:36.7,Defense,DLA,Labor Hours,74859,2
1995,00:36.7,Defense,Navy,Fixed Price Redetermination,87489481,191
1995,00:36.7,Defense,Other DoD,Cost Plus Award Fee,192381882,237
1995,00:36.7,Defense,Other DoD,Cost Plus Incentive,58013558,14
1995,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,373904453,2485
1996,00:36.7,Defense,Air Force,Cost Plus Incentive,772048946,192
1996,00:36.7,Defense,Air Force,Firm Fixed Price,17625058570,41955
1996,00:36.7,Defense,Army,Time and Materials,978475941,4274
1996,00:36.7,Defense,DLA,Time and Materials,20157988,86
1996,00:36.7,Defense,MDA,Cost Sharing,1000000,1
1996,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,117128323,152
1996,00:36.7,Defense,Navy,Cost Plus Award Fee,3775559989,4214
1996,00:36.7,Defense,Navy,Cost Plus Fixed Fee,7993915324,18319
1996,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,465633704,304
1996,00:36.7,Defense,Other DoD,Firm Fixed Price,1514613896,7598
1997,00:36.7,Defense,Army,Fixed Price Redetermination,230161883,411
1997,00:36.7,Defense,DLA,Cost Plus Fixed Fee,65654721,297
1997,00:36.7,Defense,DLA,Fixed Price Redetermination,8005547,53
1997,00:36.7,Defense,MDA,NULL,1612744,11
1997,00:36.7,Defense,MDA,Cost No Fee,5360000,9
1997,00:36.7,Defense,Navy,Fixed Price Incentive,2839072360,1424
1997,00:36.7,Defense,Navy,Fixed Price Redetermination,40797531,152
1997,00:36.7,Defense,Other DoD,Cost Plus Award Fee,279761725,242
1997,00:36.7,Defense,Other DoD,Cost Plus Incentive,38219198,17
1998,00:36.7,Defense,Air Force,Firm Fixed Price,15353686518,31712
1998,00:36.7,Defense,Army,Cost Plus Fixed Fee,4274461081,6817
1998,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,386877179,667
1998,00:36.7,Defense,MDA,Cost Sharing,315720,2
1998,00:36.7,Defense,MDA,Firm Fixed Price,10546556,11
1999,00:36.7,Defense,Air Force,Cost Plus Award Fee,7841030331,2491
1999,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2928276084,5784
1999,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,750811793,623
1999,00:36.7,Defense,Army,Fixed Price Redetermination,142198113,261
1999,00:36.7,Defense,DLA,Cost Sharing,2005860,6
1999,00:36.7,Defense,DLA,Fixed Price Redetermination,11874707,77
1999,00:36.7,Defense,MDA,Cost No Fee,19533224,14
1999,00:36.7,Defense,Navy,Fixed Price Incentive,4931497309,1210
2000,00:36.7,Defense,Army,Cost Plus Fixed Fee,4612475161,6820
2000,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,310068433,417
2000,00:36.7,Defense,DLA,Cost No Fee,7966673,18
2000,00:36.7,Defense,MDA,Firm Fixed Price,4542739,15
2000,00:36.7,Defense,MilitaryHealth,Cost Plus Fixed Fee,773374,1
2000,00:36.7,Defense,Navy,Cost Sharing,37509303,67
2000,00:36.7,Defense,Navy,Firm Fixed Price,14900623559,58580
1995,00:36.7,Defense,DLA,Fixed Price Redetermination,8673382,38
1995,00:36.7,Defense,Navy,Cost Plus Incentive,2115292836,177
1995,00:36.7,Defense,Other DoD,NULL,50623803,82
1996,00:36.7,Defense,Army,Cost Plus Fixed Fee,3893149723,6735
1996,00:36.7,Defense,Army,Firm Fixed Price,19102847827,63613
1996,00:36.7,Defense,DLA,Firm Fixed Price,3058631771,26335
1996,00:36.7,Defense,MDA,Cost Plus Fixed Fee,279925803,294
1996,00:36.7,Defense,MDA,Firm Fixed Price,2724100,20
1996,00:36.7,Defense,Navy,Cost Sharing,24450880,71
1996,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,791804005,1277
1997,00:36.7,Defense,Air Force,Cost Plus Award Fee,6890396451,2737
1997,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2670393791,5104
1997,00:36.7,Defense,Army,Cost Plus Award Fee,2433441059,2324
1997,00:36.7,Defense,DLA,Cost Plus Award Fee,4364099,1
1997,00:36.7,Defense,MDA,Cost Plus Award Fee,18942036,18
1997,00:36.7,Defense,Navy,Cost No Fee,167369465,384
1997,00:36.7,Defense,Navy,Labor Hours,87933768,407
1997,00:36.7,Defense,Other DoD,Fixed Price Redetermination,6469977,15
1998,00:36.7,Defense,Air Force,Cost Plus Incentive,491746504,211
1998,00:36.7,Defense,Army,Firm Fixed Price,19526319217,57117
1998,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,53820964,82
1998,00:36.7,Defense,Navy,Cost Sharing,13577352,51
1998,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,658492134,310
1998,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,872651909,1368
1998,00:36.7,Defense,Other DoD,Firm Fixed Price,1607590251,5297
1999,00:36.7,Defense,Army,Cost Plus Award Fee,3364264200,2553
1999,00:36.7,Defense,DLA,Cost Plus Fixed Fee,120708575,474
1999,00:36.7,Defense,MDA,Cost Plus Award Fee,740095777,246
1999,00:36.7,Defense,Navy,Cost No Fee,118457237,478
1999,00:36.7,Defense,Navy,Labor Hours,103255851,428
1999,00:36.7,Defense,Other DoD,Cost Plus Award Fee,551642984,262
1999,00:36.7,Defense,Other DoD,Cost Plus Incentive,2519113,4
1999,00:36.7,Defense,Other DoD,Fixed Price Redetermination,1514087,6
2000,00:36.7,Defense,Air Force,Cost Plus Incentive,574318515,190
2000,00:36.7,Defense,Army,Cost Sharing,79368861,55
2000,00:36.7,Defense,Army,Fixed Price Award Fee,29593523,18
2000,00:36.7,Defense,MDA,Cost Sharing,610970,3
2000,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,-248256,2
2000,00:36.7,Defense,MilitaryHealth,Not Reported,2193032,4
2000,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,791765534,567
2000,00:36.7,Defense,Navy,Time and Materials,737153631.7,3260
2000,00:36.7,Defense,Other DoD,Firm Fixed Price,1809993931,6933
2001,00:36.7,Defense,Air Force,Cost Sharing,23130439,72
2001,00:36.7,Defense,Air Force,Fixed Price Incentive,874077966,405
2001,00:36.7,Defense,Air Force,Not Reported,1717043501,8114
2001,00:36.7,Defense,Army,Cost No Fee,825919770.3,1203
2001,00:36.7,Defense,Army,Other (none of the above),9690387,14
1996,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,6826906,11
1996,00:36.7,Defense,Navy,Fixed Price Incentive,3511772780,1474
1996,00:36.7,Defense,Navy,Time and Materials,949985891,4230
1996,00:36.7,Defense,Other DoD,Cost Plus Award Fee,222554780,261
1997,00:36.7,Defense,Air Force,Cost Plus Incentive,591913325,230
1997,00:36.7,Defense,Air Force,Fixed Price Redetermination,72675198,169
1997,00:36.7,Defense,Army,NULL,793650942,7295
1997,00:36.7,Defense,Army,Cost No Fee,390271708,891
1997,00:36.7,Defense,Army,Time and Materials,1185648716,4480
1997,00:36.7,Defense,DLA,NULL,186034383,902
1997,00:36.7,Defense,DLA,Time and Materials,39140003,90
1997,00:36.7,Defense,MilitaryHealth,NULL,659354,4
1997,00:36.7,Defense,Navy,Cost Plus Fixed Fee,9432267454,18174
1997,00:36.7,Defense,Other DoD,NULL,166209812,1216
1998,00:36.7,Defense,DLA,Firm Fixed Price,3708968036,33531
1998,00:36.7,Defense,MDA,Cost No Fee,7574000,13
1998,00:36.7,Defense,Other DoD,Cost Plus Incentive,7418565,10
1999,00:36.7,Defense,Air Force,Cost Sharing,54623492,93
1999,00:36.7,Defense,Air Force,Firm Fixed Price,17903087917,31492
1999,00:36.7,Defense,Air Force,Fixed Price Incentive,648633702,480
1999,00:36.7,Defense,Army,Cost Plus Fixed Fee,3822097108,6629
1999,00:36.7,Defense,MDA,Firm Fixed Price,6684070,9
1999,00:36.7,Defense,Navy,Cost Plus Incentive,2349541293,447
2000,00:36.7,Defense,Air Force,Cost No Fee,1305926462,1894
2000,00:36.7,Defense,Air Force,Cost Plus Award Fee,7393526343,2257
2000,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,766949346,634
2000,00:36.7,Defense,Air Force,Labor Hours,291547216,678
2000,00:36.7,Defense,Army,Cost Plus Incentive,1022727660,367
2000,00:36.7,Defense,Army,Fixed Price Redetermination,363984843,302
2000,00:36.7,Defense,Army,Not Reported,1598838367,10634
2000,00:36.7,Defense,DLA,Fixed Price Redetermination,25417724,244
2000,00:36.7,Defense,DLA,Not Reported,405121343,1506
2000,00:36.7,Defense,MDA,Cost Plus Award Fee,1157152471,174
2000,00:36.7,Defense,MDA,Cost Plus Fixed Fee,187062448,192
2000,00:36.7,Defense,Other DoD,Cost Sharing,32727351,24
2000,00:36.7,Defense,Other DoD,Fixed Price Redetermination,81000,2
2001,00:36.7,Defense,Air Force,Time and Materials,1455015993,3683
2001,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,730788155,461
2001,00:36.7,Defense,MDA,Not Reported,9701377,59
2001,00:36.7,Defense,MilitaryHealth,Fixed Price with Economic Price Adjustment,31559,1
2001,00:36.7,Defense,Navy,Cost Sharing,24552114,49
2001,00:36.7,Defense,Navy,Firm Fixed Price,15366740976,60667
2001,00:36.7,Defense,Other DoD,Cost No Fee,45379729,114
2001,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,554535792,2599
2001,00:36.7,Defense,Other DoD,Labor Hours,76569044.51,39
2002,00:36.7,Defense,NULL,Fixed Price with Economic Price Adjustment,0,NULL
1996,00:36.7,Defense,Air Force,Cost No Fee,897458492,1111
1996,00:36.7,Defense,Air Force,Fixed Price Incentive,888199217,1023
1996,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,750452000,1201
1996,00:36.7,Defense,Air Force,Labor Hours,298768386,1188
1996,00:36.7,Defense,Army,Cost Plus Incentive,1815659211,514
1996,00:36.7,Defense,DLA,Cost No Fee,12262168,107
1996,00:36.7,Defense,DLA,Cost Plus Incentive,1641160,6
1996,00:36.7,Defense,Other DoD,Cost Sharing,8074289,13
1997,00:36.7,Defense,Air Force,NULL,703626143,5962
1997,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,869277486,740
1997,00:36.7,Defense,Air Force,Labor Hours,353488269,1220
1997,00:36.7,Defense,Air Force,Time and Materials,1372908613,3206
1997,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,439538878,777
1997,00:36.7,Defense,Navy,Firm Fixed Price,15151979990,37393
1997,00:36.7,Defense,Other DoD,Cost No Fee,41845785,98
1997,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,176901611,1405
1997,00:36.7,Defense,Other DoD,Labor Hours,9356872,41
1998,00:36.7,Defense,Air Force,NULL,729012479,6176
1998,00:36.7,Defense,Air Force,Time and Materials,1378147827,3203
1998,00:36.7,Defense,Army,Fixed Price Incentive,62015860,63
1998,00:36.7,Defense,DLA,Cost Sharing,4997895,6
1998,00:36.7,Defense,DLA,Fixed Price Incentive,68132,1
1998,00:36.7,Defense,MDA,NULL,2222678,10
1998,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,2249907821,317
1998,00:36.7,Defense,Navy,NULL,1253753499,6468
1998,00:36.7,Defense,Navy,Cost Plus Award Fee,3952817322,5130
1998,00:36.7,Defense,Navy,Firm Fixed Price,13647750309,37296
1998,00:36.7,Defense,Navy,Fixed Price Redetermination,66698276,236
1998,00:36.7,Defense,Other DoD,Cost No Fee,39938013,115
1998,00:36.7,Defense,Other DoD,Fixed Price Incentive,30000,1
1998,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,311423260,1414
1998,00:36.7,Defense,Other DoD,Labor Hours,10923069,33
1998,00:36.7,Defense,Other DoD,Time and Materials,357980402,725
1999,00:36.7,Defense,Army,Fixed Price Incentive,182881335,32
1999,00:36.7,Defense,Army,Labor Hours,64617880,287
1999,00:36.7,Defense,DLA,Cost No Fee,2036246,16
1999,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,3048248101,2164
1999,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,-1062652,8
1999,00:36.7,Defense,MilitaryHealth,Cost Plus Fixed Fee,1606273,2
1999,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,2609502448,342
1999,00:36.7,Defense,Navy,Cost Plus Award Fee,4135936540,5695
1999,00:36.7,Defense,Other DoD,Fixed Price Incentive,78945704,19
1999,00:36.7,Defense,Other DoD,Time and Materials,415948665,979
2000,00:36.7,Defense,Air Force,Fixed Price Redetermination,79204925,185
2000,00:36.7,Defense,Army,Labor Hours,99817811,356
2000,00:36.7,Defense,Army,Time and Materials,1620975998,4992
1995,00:36.7,Defense,Navy,Cost Sharing,425161455,68
1996,00:36.7,Defense,Air Force,Cost Plus Award Fee,7535290322,2606
1996,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2018135161,4773
1996,00:36.7,Defense,Army,Fixed Price Redetermination,76377477,300
1996,00:36.7,Defense,DLA,Cost Plus Award Fee,35148,1
1996,00:36.7,Defense,DLA,Fixed Price Redetermination,4122214,39
1996,00:36.7,Defense,MDA,Cost Plus Award Fee,11936024,11
1996,00:36.7,Defense,MilitaryHealth,Fixed Price with Economic Price Adjustment,188183588,17
1996,00:36.7,Defense,Navy,Cost Plus Incentive,1495957391,237
1996,00:36.7,Defense,Other DoD,NULL,7023399,65
1996,00:36.7,Defense,Other DoD,Fixed Price Redetermination,6103744,41
1997,00:36.7,Defense,Army,Cost Plus Fixed Fee,4414360109,7015
1997,00:36.7,Defense,Army,Firm Fixed Price,19752453079,56747
1997,00:36.7,Defense,DLA,Firm Fixed Price,3374825484,31746
1997,00:36.7,Defense,MDA,Firm Fixed Price,36679342,18
1997,00:36.7,Defense,Navy,Cost Sharing,22318379,68
1997,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,786218208,1275
1997,00:36.7,Defense,Other DoD,Firm Fixed Price,1438822377,6017
1998,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2901491694,5454
1998,00:36.7,Defense,Army,Cost Plus Award Fee,2569690486,2505
1998,00:36.7,Defense,DLA,Cost Plus Award Fee,618096,2
1998,00:36.7,Defense,DLA,Cost Plus Fixed Fee,84771198,365
1998,00:36.7,Defense,MDA,Cost Plus Award Fee,279461938,250
1998,00:36.7,Defense,Navy,Cost No Fee,127464532,412
1998,00:36.7,Defense,Navy,Labor Hours,59589032,295
1998,00:36.7,Defense,Other DoD,Fixed Price Redetermination,8570753,11
1999,00:36.7,Defense,Air Force,Cost Plus Incentive,356989486,182
1999,00:36.7,Defense,Army,Cost Sharing,34645661,68
1999,00:36.7,Defense,MDA,Cost Sharing,204000,1
1999,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,-4056124,34
1999,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,522125102,462
1999,00:36.7,Defense,Navy,Time and Materials,866386883,3538
1999,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,865730858,1305
1999,00:36.7,Defense,Other DoD,Firm Fixed Price,1588653971,5602
2000,00:36.7,Defense,Air Force,Cost Sharing,44782599,105
2000,00:36.7,Defense,Army,Cost Plus Award Fee,3540711190,2230
2000,00:36.7,Defense,Army,Other (none of the above),2894007,10
2000,00:36.7,Defense,DLA,Cost Plus Fixed Fee,189595874,673
2000,00:36.7,Defense,MDA,Cost No Fee,5987295,9
2000,00:36.7,Defense,Navy,Cost No Fee,128709856,545
2000,00:36.7,Defense,Navy,Fixed Price Incentive,5098542255,2320
2000,00:36.7,Defense,Navy,Labor Hours,114419012,423
2000,00:36.7,Defense,Navy,Not Reported,2625339673,9647
2000,00:36.7,Defense,Other DoD,Cost Plus Award Fee,574512216,663
2000,00:36.7,Defense,Other DoD,Cost Plus Incentive,369377,3
2001,00:36.7,Defense,Air Force,Cost Plus Incentive,594096733,253
2001,00:36.7,Defense,Army,Cost Plus Incentive,1088166660,393
2000,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,742277867,1305
2000,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,79683313,1395
2001,00:36.7,Defense,Air Force,Cost Plus Award Fee,7440082420,2267
2001,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,2667963569,6084
2001,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,1431247636,551
2001,00:36.7,Defense,Army,Fixed Price Incentive,133436784,79
2001,00:36.7,Defense,Army,Fixed Price Redetermination,278580749,209
2001,00:36.7,Defense,Army,Not Reported,2061748346,13146
2001,00:36.7,Defense,DLA,Cost Sharing,4351797,12
2001,00:36.7,Defense,DLA,Fixed Price Incentive,26868,1
2001,00:36.7,Defense,DLA,Not Reported,497979849,1715
2001,00:36.7,Defense,MDA,Cost Plus Award Fee,1467198265,173
2001,00:36.7,Defense,MilitaryHealth,Fixed Price Redetermination,231000000,1
2001,00:36.7,Defense,Navy,Cost No Fee,195241309,515
2001,00:36.7,Defense,Navy,Cost Plus Award Fee,3945981812,6803
2001,00:36.7,Defense,Navy,Order Dependent (IDV only),0,NULL
2001,00:36.7,Defense,Other DoD,Fixed Price Redetermination,2099798,5
2002,00:36.7,Defense,Army,Labor Hours,336778666,1588
2002,00:36.7,Defense,DLA,Cost No Fee,7504642,16
2002,00:36.7,Defense,DLA,Labor Hours,2476185.5,26
2002,00:36.7,Defense,Navy,Cost Sharing,57266045,68
2002,00:36.7,Defense,Navy,Firm Fixed Price,18295032107,96326
2002,00:36.7,Defense,Navy,Fixed Price Redetermination,94559711,278
2002,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,956102856,1252
2002,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,308697451,3343
2003,00:36.7,Defense,Army,Combination (two or more),62650531.09,121
2003,00:36.7,Defense,Army,Fixed Price Incentive,509925583,177
2003,00:36.7,Defense,Army,Not Reported,3066262065,40674
2003,00:36.7,Defense,Army,Time and Materials,2753696121,9069
2003,00:36.7,Defense,DLA,Combination (two or more),730348,3
2003,00:36.7,Defense,DLA,Fixed Price Incentive,161303375,42
2003,00:36.7,Defense,DLA,Not Reported,614323649,1623
2003,00:36.7,Defense,DLA,Time and Materials,29561839,134
2003,00:36.7,Defense,MDA,Cost Plus Award Fee,2191891819,321
2003,00:36.7,Defense,MilitaryHealth,Fixed Price Redetermination,36226981,3
2003,00:36.7,Defense,Navy,Cost No Fee,592783800,698
2003,00:36.7,Defense,Navy,Cost Plus Award Fee,9087581754,8943
2003,00:36.7,Defense,Navy,Cost Plus Fixed Fee,10644514373,23575
2003,00:36.7,Defense,Navy,Labor Hours,145935284.3,516
2003,00:36.7,Defense,Navy,Order Dependent (IDV only),0,NULL
2003,00:36.7,Defense,Navy,Other (none of the above),0,4
2003,00:36.7,Defense,Other DoD,Fixed Price Incentive,523911121,189
2003,00:36.7,Defense,Other DoD,Fixed Price Redetermination,5461396,17
2003,00:36.7,Defense,Other DoD,Not Reported,839244964.4,3633
2004,00:36.7,Defense,Army,Cost Sharing,41142447,90
2004,00:36.7,Defense,Army,Fixed Price Award Fee,96385052,243
