ParentID	FiscalYear	ObligatedAmount	ObligatedAmountIsSmall	PercentIsSmall	LargeGreaterThan3B	MaxOfAnyIsSmall	MinOfAnyIsSmall	MaxOfIsOnePercentPlusSmall	MinOfIsOnePercentPlusSmall	MaxOfAlwaysIsSmall	MinOfAlwaysIsSmall
JOHNSON & JOHNSON	2015	29840220.44	89087.66	0.002985	0	1	1	0	0	0	0
MILITARY PERSONNEL SERVICES CORPORATION	2012	116613907.5	-343095.92	-0.002942	0	1	1	0	0	0	0
PARSONS	2015	619601156.1	0	0	0	1	0	0	0	0	0
ALCATEL LUCENT	2014	14398913.65	0	0	1	1	0	0	0	0	0
JERED BROWN BROTHERS	1992	58045093	0	0	0	0	0	0	0	0	0
OWENS & MINOR	2015	152721138.8	0	0	1	0	0	0	0	0	0
HMC GROUP	1998	138350	0	0	0	0	0	0	0	0	0
UNIVERSITY OF COLORADO	2009	95428202.46	7558	0.000079	0	1	0	1	0	0	0
SALLYPORT GLOBAL HOLDINGS	2015	124943751.4	-39891.58	-0.000319	0	1	1	0	0	0	0
AIRPORT EQUIPMENT RENTALS	2015	67856.65	9495.9	0.13994	0	1	1	1	1	0	0
UNITED TECH	2015	6816136839	1482204.88	0.000217	1	1	0	1	0	1	0
VT GRIFFIN SERVICES	1995	5175143	5175143	1	0	1	1	1	1	1	1
STEVEN WINTERS	2012	599314.81	99999.98	0.166857	0	1	1	1	1	0	0
VITRO	1992	297214745	0	0	0	0	0	0	0	0	0
CARMEL MARINA	2015	622000.22	0	0	0	0	0	0	0	0	0
GENERAL ELECTRIC	1998	1273723395	4628953	0.003634	1	1	0	1	0	1	0
ALCATEL LUCENT	2011	4298680	0	0	1	0	0	0	0	0	0
BOVIS	2015	6081109.19	0	0	0	0	0	0	0	0	0
GRUMMAN	1992	2144767236	168640	0.000078	1	1	0	1	0	0	0
UNIVERSITY OF COLORADO	2012	59040741.68	0	0	0	0	0	0	0	0	0
HMC GROUP	1995	1084546	74407	0.068606	0	1	1	1	1	0	0
Symantec	2015	238762.75	55946	0.234316	1	1	1	1	1	0	0
FLIGHTSAFETY INTERNATIONAL  [BERKSHIRE HATHAWAY]	1992	16371161	0	0	0	0	0	0	0	0	0
VCS COMPUTER	2012	12678.98	0	0	0	0	0	0	0	0	0
FOREIGN UTILITY CONSOLIDATED REPORTING	1992	98838884	0	0	1	0	0	0	0	0	0
VITRO	1995	337510412	237944	0.000704	0	1	0	1	0	0	0
BOVIS	2012	4696761.37	0	0	0	0	0	0	0	0	0
Washington Metropolitan Authority	1998	1408278	1380000	0.97992	0	1	1	1	1	1	0
STEVEN WINTERS	2015	194079.5	194079.5	1	0	1	1	1	1	1	1
GRUMMAN	1995	109688917	0	0	1	0	0	0	0	0	0
HMC GROUP	1992	792754	104117	0.131335	0	1	0	1	0	0	0
FOREIGN UTILITY CONSOLIDATED REPORTING	2015	201264992.7	0	0	1	0	0	0	0	0	0
IL KWANG INDUSTRIAL	2001	18686147	0	0	0	0	0	0	0	0	0
GLOBAL COMPUTER ENTERPRISE	2009	14260374.08	14260374.08	1	0	1	1	1	1	1	1
Symantec	1995	39000	0	0	1	0	0	0	0	0	0
LEXMARK INTERNATIONAL	2009	19219271.9	37492.5	0.00195	1	1	0	0	0	0	0
HOOPER	2009	3082	3082	1	0	1	1	1	1	1	1
SEMPRA ENERGY	2006	2378918.76	1931	0.000811	0	1	0	0	0	0	0
THE OF MERCER UNIV	2009	91500	0	0	0	0	0	0	0	0	0
VOGEL HOLDING I	2012	25684.36	16800	0.654094	0	1	1	1	1	0	0
MERISTAR HOSPITALITY	2004	1002632.3	147903.4	0.147515	0	1	0	1	0	1	0
ENERGY ENTERPRISE SOLUTIONS	2012	39156347.48	39389298.91	1.005949	0	1	1	1	1	0	0
LIFE CYCLE ENGINEERING	2000	16326783	15447852	0.946166	0	1	1	1	1	1	0
RESOURCE MANAGEMENT CONCEPTS	2003	5747366.29	5747366.29	1	0	1	1	1	1	1	1
UNITED TECH	1998	1977267003	362878	0.000183	1	1	0	1	0	1	0
FAIRBANKS SCALES	2004	111191	4971	0.044706	0	1	0	1	0	0	0
SHARP ELECTRONICS	2003	30782	30782	1	0	1	1	1	1	1	1
QSS GROUP [PEROT SYSTEMS]	2000	98555890	94103456	0.954823	0	1	1	1	1	0	0
AGILITY DEFENSE & GOVERNMENT SERVICES	2006	1821667872	0	0	1	0	0	0	0	0	0
ATLAS COPCO NORTH AMERICA	2001	50	0	0	0	0	0	0	0	0	0
FAIRBANKS SCALES	2007	143924.28	0	0	0	0	0	0	0	0	0
ALEC ACQUISITIONS SUB	2003	-222569	-222569	1	0	1	1	1	1	1	1
WESTERN FILTER	2001	739174	739174	1	0	1	1	1	1	1	1
STREIT MANUFACTURING	2009	4896	0	0	0	0	0	0	0	0	0
EDEM FOUNTAIN I	2000	10000	0	0	0	0	0	0	0	0	0
MARINER POST AC	2003	5236592.02	59869	0.011432	0	1	0	1	0	0	0
VT GRIFFIN SERVICES	2012	42705129.4	621963.69	0.014564	0	1	0	1	0	1	0
RUSSELL BOYD	2003	50412	50412	1	0	1	1	1	1	1	1
ANACOMP	2012	-50548.68	-10765.38	0.21297	0	1	1	1	1	0	0
AIRPORT EQUIPMENT RENTALS	1998	45840	45840	1	0	1	1	1	1	1	1
KIMBALL	2000	22068306	1492282	0.067621	0	1	0	1	0	1	0
MAXWELL TECHNOLOGIES	2001	16677844	0	0	0	0	0	0	0	0	0
Washington Metropolitan Authority	2012	138005238.2	0	0	0	0	0	0	0	0	0
BRANCH GROUP1049 PG BLVD	2009	216117.63	7182.6	0.033234	0	1	0	1	0	0	0
ALLEGHENY ENERGY	2003	2280433	0	0	0	0	0	0	0	0	0
COVENANT AVIATION SECURITY	2009	90790365.92	0	0	0	0	0	0	0	0	0
TOSHIBA	2007	31093381.41	146733.56	0.004719	0	1	0	1	0	1	0
VISUAL NUMERIC	2009	254682.91	254682.91	1	0	1	1	1	1	1	1
TOSHIBA	2004	19353067.84	67888.68	0.003507	0	1	0	1	0	1	0
BRIX	2012	11759761.73	3655891.73	0.310881	0	1	1	1	1	0	0
FORMAC INTERNATIONAL	2009	1433528.47	38603.47	0.026928	0	1	1	1	1	0	0
IL KWANG INDUSTRIAL	2004	390295	0	0	0	0	0	0	0	0	0
PARSONS	1998	142358667	584950	0.004108	0	1	0	1	0	0	0
MERISTAR HOSPITALITY	2001	442297	0	0	0	0	0	0	0	0	0
EAGLE INDUSTRIES UNLIMITED	2005	3286708.17	3286708.17	1	0	1	1	1	1	1	1
SOUTHERN COMPANY	2003	712178	0	0	0	0	0	0	0	0	0
THE OF MERCER UNIV	2006	11307935	0	0	0	0	0	0	0	0	0
ERINYS INTERNATIONAL / IRAQ	2012	-85119	0	0	0	0	0	0	0	0	0
INTERNET SECURITY SYSTEMS	2000	30000	0	0	0	0	0	0	0	0	0
DAVIS BACON	2003	18284537.46	14096524.46	0.770953	0	1	1	1	1	0	0
USEC	2007	77562000.04	0	0	0	0	0	0	0	0	0
THE HENRY M JACKSON FOUNDATION	2007	60523959.08	3300	0.000054	0	1	1	0	0	0	0
EMERSON CONSTRUCTION	1991	608000	608000	1	0	1	1	1	1	1	1
BERWIND	2006	52123	38703	0.742532	0	1	1	1	1	0	0
INTERSTATE CONFERENCE OF EMPLOYMENT SECURITY AGENCIES	2007	1970	0	0	0	0	0	0	0	0	0
CTA	1994	84617874	28611923	0.33813	0	1	0	1	0	1	0
AMERICAN SYSTEMS	2003	52612109.16	18806212	0.35745	0	1	1	1	1	0	0
REEVES COUNTY	2014	576832.09	0	0	0	0	0	0	0	0	0
BATTELLE	2006	2063646434	413030	0.0002	1	1	0	1	0	0	0
DATALINE	2006	34265445.14	32301656	0.942688	0	1	1	1	1	0	0
FERGUSON JACK E	2001	56000	56000	1	0	1	1	1	1	1	1
ANACOMP	1998	2129229	90427	0.042469	0	1	0	1	0	0	0
NATIONAL SERVICE INDUSTRIES	1993	2005071	0	0	0	0	0	0	0	0	0
SACRED HEART MONASTERY	2014	131124	0	0	0	0	0	0	0	0	0
INTERNATIONAL BUSINESS MACHINE	1993	186192396	0	0	0	0	0	0	0	0	0
COMPASS GROUP	2011	2209082.17	-3193.95	-0.001445	0	1	0	1	0	1	0
ICX TECHNOLOGIES	2011	347000	347000	1	0	1	1	1	1	1	1
HSU DEVELOPMENT COMPANY	2008	34050036.1	33449726.51	0.982369	0	1	1	1	1	0	0
TX state government	2011	75291.69	0	0	0	0	0	0	0	0	0
NEW HORIZONS COMPUTER LNG CTR	2008	151159.09	0	0	0	0	0	0	0	0	0
BALLARD ASSO	1999	696756	0	0	0	0	0	0	0	0	0
ADVANCED ENERGY SYSTEMS	2005	2947674.54	2905000	0.985522	0	1	0	1	0	1	0
BOOZ ALLEN HAMILTON	2011	4073221588	56766202.28	0.013936	1	1	0	1	0	0	0
CHASE MANHATTAN BANK	2014	1825771.22	0	0	0	0	0	0	0	0	0
NEXTIRA FEDERAL	2011	67602955.4	0	0	0	0	0	0	0	0	0
PERFECTION GROUP	1999	59957	0	0	0	0	0	0	0	0	0
HARRIS	1993	370500999	1903077	0.005136	1	1	0	1	0	1	0
UNIVERSAL SPACE NETWORK	2011	-30000	-30000	1	0	1	1	1	1	1	1
WEFA	1993	34100	0	0	0	0	0	0	0	0	0
ACCOUNT CONTROL TECHNOLOGY	2011	16033462.95	16033462.95	1	0	1	1	1	1	1	1
UNION PACIFIC RESOURCES	2014	18020	0	0	0	0	0	0	0	0	0
APPNET	1999	577453	577453	1	0	1	1	1	1	1	1
CAE	2014	139054085.7	-9646.1201	-0.000069	0	1	0	1	0	0	0
BOOZ ALLEN HAMILTON	2008	2971052851	48839107.31	0.016438	1	1	0	1	0	0	0
KPMG	1993	26034532	0	0	1	0	0	0	0	0	0
NEW HORIZONS COMPUTER LNG CTR	2005	4725	0	0	0	0	0	0	0	0	0
LARSON DAVIS I	1994	143825	34780	0.241821	0	1	0	1	0	1	0
BLUE TEE	2002	6968	6968	1	0	1	1	1	1	1	1
BELL COUNTY WA	2009	427000.7	427000.7	1	0	1	1	1	1	1	1
OSI	1999	319963	165515	0.517294	0	1	1	1	1	0	0
INTERNATIONAL BUSINESS & TECHN	2011	9218397.32	9218397.32	1	0	1	1	1	1	0	0
GOVERNMENT ACQUISITIONS	1993	75296	0	0	0	0	0	0	0	0	0
KPMG	1996	49665825	252595	0.005085	1	1	0	1	0	1	0
DEVELOPMENT ALTERNATIVES	2014	173995616.6	0	0	0	0	0	0	0	0	0
UNIVERSITY OF WISCONSIN SYSTEM	1993	2076528	74950	0.036093	0	1	0	1	0	1	0
HILL GROUP	2014	6343379.55	0	0	0	0	0	0	0	0	0
GEO MARINE	2014	2533604.274	-25122.17	-0.009915	0	1	1	0	0	0	0
AYALA FOUNDATION INC	2011	1000000	0	0	0	0	0	0	0	0	0
HESCO BASTION	1996	125742	0	0	0	0	0	0	0	0	0
COMPASS GROUP	2014	253656.9402	13892.43	0.054768	0	1	1	1	0	1	0
EMS TECHNOLOGIES	2013	1694172.351	0	0	0	0	0	0	0	0	0
TX state government	2014	12479.84	0	0	0	0	0	0	0	0	0
PAPYRUS	2014	-500	0	0	0	0	0	0	0	0	0
GEO MARINE	1991	4439000	4439000	1	0	1	1	1	1	1	1
NAN INC	2013	83028560.18	0	0	0	0	0	0	0	0	0
GEO MARINE	2011	19751528.33	14412032.82	0.729666	0	1	1	1	1	0	0
HARRIS	1996	265895452	1151942	0.004332	1	1	0	1	0	1	0
EMS TECHNOLOGIES	1993	1040000	0	0	0	0	0	0	0	0	0
"SYPRIS SOLUTIONS, INC [TEST & MEASUREMENT]"	1998	95355	0	0	0	0	0	0	0	0	0
KILIMANJARO INTERNATIONAL CORPORATION	2009	574807.77	0	0	0	0	0	0	0	0	0
ORBITAL SCIENCES	2006	132166389.9	0	0	0	1	0	0	0	0	0
HARPER INDUSTRIES	2009	29122357.82	0	0	0	0	0	0	0	0	0
STORM PRODUCTS	2007	61939.21	61939.21	1	0	1	1	1	1	1	1
SSAI	2006	56752862.47	56747862.47	0.999911	0	1	1	1	1	0	0
THE IT GROUP	2010	-862573.21	0	0	0	0	0	0	0	0	0
SUMARIA SYSTEMS	2000	15976908	8998178	0.563198	0	1	1	1	1	0	0
WISCONSIN PHYSICIANS SERVICE HEALTH INSURANCE	2003	6968794	0	0	0	0	0	0	0	0	0
KWAJALEIN RANGE SERVICES [Joint Venture - Bechtel/Lockheed/Chugach]	2007	141165191	0	0	1	0	0	0	0	0	0
CHANNEL TECHNOLOGIES	2000	1087501	1087501	1	0	1	1	1	1	1	1
ROYAL DUTCH SHELL	1991	333939000	0	0	1	0	0	0	0	0	0
GENERAL ATOMICS	2013	2180478605	4940.05	0.000002	0	1	0	0	0	0	0
BASIC COMMERCE & INDUSTRIES	1997	847107	847107	1	0	1	1	1	1	1	1
NAVIGANT INTERNATIONAL	1997	42878	0	0	0	0	0	0	0	0	0
ITT	1990	734414000	0	0	1	0	0	0	0	0	0
IOWA STATE UNIVERSITY	2007	30655634.6	5360	0.000174	0	1	0	1	0	0	0
UNIVERSITY OF SOUTH ALABAMA (USA)	1994	272007	0	0	0	0	0	0	0	0	0
IN Q TEL	2010	15524105.58	7039577.35	0.453461	0	1	0	1	0	1	0
CFM INTERNATIONAL	2013	215614140.9	0	0	1	0	0	0	0	0	0
PROFESSIONAL RESOURCE GROUP I	2013	-61676	-61676	1	0	1	1	1	1	1	1
SUMARIA SYSTEMS	1997	25945281	25945281	1	0	1	1	1	1	1	1
TRIWEST HEALTHCARE ALLIANCE	1997	212919501	0	0	0	0	0	0	0	0	0
LITTON [NORTHROP GRUMMAN]	1997	1328254268	41086429	0.030932	1	1	0	1	0	0	0
NORSHIPCO	1991	151346398	0	0	0	0	0	0	0	0	0
IOWA STATE UNIVERSITY	2010	37526396.86	65000	0.001732	0	1	0	0	0	0	0
UNIVERSITY OF SOUTH ALABAMA (USA)	1997	83364	0	0	0	0	0	0	0	0	0
AVNET	1997	6395234	49353	0.007717	0	1	0	1	0	0	0
ROY ANDERSON HOLDING	2010	51272824.95	0	0	0	0	0	0	0	0	0
CHANNEL TECHNOLOGIES	1997	6676249	6554749	0.981801	0	1	1	1	1	1	0
TRANSCANADA PIPELINES	2010	3136840.86	0	0	0	0	0	0	0	0	0
ALEUTORAT	1997	31748910	31748910	1	0	1	1	1	1	1	1
GLOBAL KNOWLEDGE	1997	193605	39900	0.206089	0	1	0	1	0	0	0
"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]"	2010	35320268.41	2097021.35	0.059371	0	1	0	1	0	0	0
GEORGE WASHINGTON UNIVERSITY	2009	24787816.27	39201.4	0.001581	0	1	0	1	0	0	0
HALLIBURTON	1994	252603473	0	0	1	0	0	0	0	0	0
XILINX	2006	3934437	3655	0.000928	0	1	1	0	0	0	0
KWAJALEIN RANGE SERVICES [Joint Venture - Bechtel/Lockheed/Chugach]	2010	114105964.4	0	0	1	0	0	0	0	0	0
INTERMAGNETICS GENERAL	2003	399287	0	0	0	0	0	0	0	0	0
THE ANALYTIC SCIENCES	1997	74645	0	0	0	0	0	0	0	0	0
BALL AEROSPACE & TECHNOLOGIES	1997	60336500	0	0	1	0	0	0	0	0	0
LIRBY	2010	242812.02	148302.21	0.610769	0	1	1	1	1	0	0
TRIWEST HEALTHCARE ALLIANCE	2000	336017983	0	0	0	0	0	0	0	0	0
LEO BURNETT USA	2005	259612905	0	0	0	0	0	0	0	0	0
INDYNE	2011	248858270.4	37463442.82	0.150541	0	1	1	1	1	0	0
SECURITY BY KENCO	2008	32539.67	32539.67	1	0	1	1	1	1	1	1
SPACE ENVIRONMENT	2005	37000	37000	1	0	1	1	1	1	1	1
SECURITY BY KENCO	2005	14609	14609	1	0	1	1	1	1	1	1
STEELE & ASSOCIATES	2004	277770	277770	1	0	1	1	1	1	0	0
UNIVERSITY OF ALASKA ANCHORAGE (UAA) - AMERIC	2008	1025589.95	0	0	0	0	0	0	0	0	0
RONCO CONSULTING	2008	13347358.74	102515.7	0.00768	0	1	1	0	0	0	0
ADVANCED ENGINEERING ASSOCIATE	2011	11882477.08	3990495	0.33583	0	1	1	1	1	0	0
DIAGNON	2014	383136.13	492624.34	1.285768	0	1	1	1	1	0	0
ASSET PROTECTION & SECURITY SERVICES	2005	22749234.45	22749234.45	1	0	1	1	1	1	1	1
FOWLER HEALTHCA	2007	206917.27	0	0	0	0	0	0	0	0	0
OWENS & MINOR	1995	67197	36005	0.535812	1	1	0	0	0	0	0
SPORTS OFFICIAL	2009	33689	33689	1	0	1	1	1	1	1	1
BLACK & VEATCH HOLDING	1994	4288549	366121	0.085371	0	1	0	1	0	0	0
STATE OF MASSACHUSETTS	1999	4237030	0	0	0	0	0	0	0	0	0
IAP WORLDWIDE SERVICES	2001	2515491	449342	0.178629	0	1	1	1	1	0	0
COMTEQ FEDERAL	1996	5354463	167330	0.03125	0	1	0	1	0	0	0
TUTOR PERINI	2015	60781242.65	0	0	1	0	0	0	0	0	0
AEROFLEX	2000	-40000	0	0	0	0	0	0	0	0	0
VT state government	2007	9455.55	0	0	0	0	0	0	0	0	0
LENDEN J LEWIS JR	2009	55137.22	55137.22	1	0	1	1	1	1	1	1
KONE HOLDINGS	2003	11499105.73	97052	0.008439	0	1	0	1	0	1	0
CALISTA	2010	23271456.42	23271456.42	1	0	1	1	1	1	1	1
CLEARBROOK	2007	105564	0	0	0	0	0	0	0	0	0
REEVES COUNTY	2011	149161816.8	0	0	0	0	0	0	0	0	0
G DAVIDSON	2000	695288	695288	1	0	1	1	1	1	1	1
LUSTER NATIONA	2008	208321	208321	1	0	1	1	1	1	1	1
LENDEN J LEWIS JR	2012	82594.78	82594.78	1	0	1	1	1	1	1	1
AMERICAN MEDICA	2007	26716992.02	36818.94	0.001378	0	1	0	1	0	1	0
AMERICAN SYSTEMS	2006	48538039.26	1310548.93	0.027	0	1	0	1	0	1	0
ROBERTS MOTOR	2007	60700	60700	1	0	1	1	1	1	1	1
FHI DEVELOPMENT 360	2010	3218271	0	0	0	0	0	0	0	0	0
DAVIS BACON	2006	12633503.44	12221889.44	0.967418	0	1	1	1	1	0	0
EMERSON CONSTRUCTION	1994	3429736	3429736	1	0	1	1	1	1	1	1
STANDEX INTERNATIONAL	2011	92366.46	26632.5	0.288335	0	1	0	1	0	1	0
ANACOMP	1995	3162411	0	0	0	0	0	0	0	0	0
KRAFT FOODS	2003	136888833	1021312	0.00746	1	1	0	1	0	1	0
COX COMMUNICATIONS	2004	788349.55	2056.67	0.002608	0	1	1	0	0	0	0
HARTMAN WALSH	2014	6245275.78	6273478	1.004515	0	1	1	1	1	0	0
SPORTS OFFICIAL	2012	94701	94701	1	0	1	1	1	1	1	1
IT RESEARCH INSTITUTE	2002	129460321	905941	0.006997	0	1	0	1	0	0	0
DILLINGHAM CONSTRUCTION	2002	2828688	0	0	0	0	0	0	0	0	0
TIME EXPRESS MESSENGER DELIVER	2005	32936	32936	1	0	1	1	1	1	1	1
UNIVERSITY OF ALABAMA	1996	5118797	0	0	0	0	0	0	0	0	0
FEMCO	2008	14903890.43	14784305.43	0.991976	0	1	1	1	1	0	0
MBB OF AMERICA	2008	22259016.2	22259016.2	1	0	1	1	1	1	1	1
BLACK BOX	2014	4526951.978	2437548.793	0.538452	0	1	1	1	1	0	0
ARCTIC SLOPE REGIONAL CORPORATION	1999	14287069	14287069	1	0	1	1	1	1	1	1
MYRON MINSKOFF & JEAN MINSKOFF	2002	324000	324000	1	0	1	1	1	1	1	1
ORBIMAGE	2005	60519036.6	0	0	0	0	0	0	0	0	0
NETWORK IMAGINING	2008	69588798.01	67867322.01	0.975262	0	1	1	1	1	0	0
GRANITE CONSTRUCTION COMPANY	2005	13196033	32875	0.002491	0	1	1	0	0	0	0
EASTER SEAL OF CT	2005	89179.44	0	0	0	0	0	0	0	0	0
AMERIDATA TECHNOLOGIES	2008	43041792.27	20874493.44	0.484981	0	1	0	1	0	0	0
HERCULES	2008	1039473	0	0	0	0	0	0	0	0	0
SCIENTIFIC RESEARCH	2005	93459810	43380048	0.464157	0	1	1	1	1	0	0
FIRST DATA	2014	6431640.13	-3060	-0.000475	1	1	0	0	0	0	0
WPP	2005	63638545.34	0	0	1	0	0	0	0	0	0
SAIC	2002	3504592224	132330841	0.037759	1	1	0	1	0	1	0
TRIAD WESTERN	1999	528777	528777	1	0	1	1	1	1	1	1
NATIONAL ACADEMY FOR STATE HEA	2002	1263000	0	0	0	0	0	0	0	0	0
TELDATA COMMUNICATIONS	2005	20026	20026	1	0	1	1	1	1	1	1
NEW AFRICA TECHNOLOGY COMPANY	2014	285645.35	0	0	0	0	0	0	0	0	0
INTELLIGENT DECISIONS	2015	156352996.8	125372532.1	0.801855	0	1	1	1	1	0	0
AD COUNCIL	2012	9341774.14	-2612.6	-0.000279	0	1	1	0	0	0	0
ANDREW	2014	87737	0	0	0	0	0	0	0	0	0
CREATIVE INFORMATION TECHNOLOGY	2012	50484449.97	48683890.47	0.964334	0	1	1	1	1	0	0
FEDEX	1998	289216033	30000	0.000103	1	1	0	0	0	0	0
FLORIDA INTERNATIONAL UNIVERSI	1995	405411	0	0	0	0	0	0	0	0	0
SEONG BO CONSTRUCTION IND	2014	11674232.49	0	0	0	0	0	0	0	0	0
TOYON RESEARCH	2012	21841640.21	21841640.21	1	0	1	1	1	1	1	1
EASTERN COMPUTERS	1995	10168993	10168993	1	0	1	1	1	1	1	1
BRASFIELD & GORRIE	2014	108954332	0	0	0	0	0	0	0	0	0
AMERICAN APPAREL	1995	43563392	0	0	0	0	0	0	0	0	0
KQ SERVICES	1995	76200	76200	1	0	1	1	1	1	1	1
RICOH	2015	77056614.39	57540.81	0.000746	1	1	0	1	0	0	0
KEYSTONE PEER REVIEW ORGANIZATION	2014	8103198.681	0	0	0	0	0	0	0	0	0
OLIN	1989	685000	0	0	0	0	0	0	0	0	0
OLIN	1992	552284111	3485277	0.00631	0	1	0	1	0	0	0
MCDONNELL DOUGLAS [BOEING]	1988	699000	0	0	1	0	0	0	0	0	0
HALLEN INTERNA	1998	2331132	2331132	1	0	1	1	1	1	1	1
FLORIDA INTERNATIONAL UNIVERSI	1992	163930	0	0	0	0	0	0	0	0	0
AGUIRRE INTERNATIONAL	2012	3574420	0	0	0	0	0	0	0	0	0
MMI COMPANIES	2015	7710373.95	7710373.95	1	0	1	1	1	1	1	1
EASTERN COMPUTERS	1992	7973805	7973805	1	0	1	1	1	1	1	1
LADISH	2008	75262	0	0	0	0	0	0	0	0	0
KQ SERVICES	1998	122857	122857	1	0	1	1	1	1	1	1
HMA ASSOCIATES	2012	1340564	200	0.000149	0	1	1	0	0	0	0
GEORGIA INSTITUTE OF TECHNOLOGY	2015	245677463.4	0	0	0	0	0	0	0	0	0
GEORGIA INSTITUTE OF TECHNOLOGY	1992	32595932	0	0	0	0	0	0	0	0	0
MACFADDEN & ASSOCIATES	1998	93443	93443	1	0	1	1	1	1	1	1
TECHTREND	2015	24564222.24	24450145.04	0.995355	0	1	1	1	1	0	0
PLANET PACIFIC	1998	222654	0	0	0	0	0	0	0	0	0
KEYSTONE PEER REVIEW ORGANIZATION	2011	8506516.19	0	0	0	0	0	0	0	0	0
ESTERLINE	2009	205883.46	205883.46	1	0	1	1	1	1	1	1
PARAMOUNT PETROLEUM [ALON USA]	1998	39053090	39053090	1	0	1	1	1	1	1	1
NONPUBLIC EDUC	2015	7640050.16	0	0	0	0	0	0	0	0	0
VIRGINIA ELECTRIC & POWER	2015	53370619.49	0	0	1	0	0	0	0	0	0
AGUIRRE INTERNATIONAL	2009	1834577	0	0	0	0	0	0	0	0	0
GENERAL OFFSHORE	1998	1071312	691363	0.645342	0	1	1	1	1	0	0
SUNPOWER	1992	49981	49981	1	0	1	1	1	1	1	1
OMV MEDICAL	1998	7826166	7826166	1	0	1	1	1	1	1	1
BRASFIELD & GORRIE	2011	34793205.43	0	0	0	0	0	0	0	0	0
MORRISON KNUDSEN	1998	98935471	9092466	0.091902	0	1	0	1	0	0	0
SERCO GROUP PLC	2008	431674348.7	79436842.38	0.18402	1	1	0	1	0	0	0
STANDARD AERO	1999	883554	0	0	0	0	0	0	0	0	0
EL DORADO INVESTMENT COMPANY	2007	9270527.05	0	0	0	0	0	0	0	0	0
FEDERAL SIGNAL	2005	136259	3160	0.023191	0	1	0	1	0	0	0
BP GLOBAL	1999	13460952	0	0	1	0	0	0	0	0	0
CENDANT MOBILITY SERVICES	1999	76560	0	0	0	0	0	0	0	0	0
CUBIC	2011	426377292.3	10542089.03	0.024724	0	1	0	1	0	0	0
3M	2002	17616124.65	120278	0.006827	1	1	0	1	0	1	0
SMITH HINCHMAN & GRYLLS	1999	29690	0	0	0	0	0	0	0	0	0
XEROX	1999	64791816	539251	0.008322	1	1	0	1	0	1	0
USEC	2001	27066000	0	0	0	0	0	0	0	0	0
BUTLER NATIONAL	2005	153950	3000	0.019486	0	1	1	1	1	0	0
CW GROUP	1999	493537	0	0	0	0	0	0	0	0	0
SCIENTIFIC RESEARCH	2014	255123062.7	20748356.25	0.081326	0	1	1	1	1	0	0
FIRST DATA	2005	43927871.12	21364	0.000486	1	1	0	1	0	0	0
IRIDIUM COMMUNICATIONS	2011	77247298	0	0	0	0	0	0	0	0	0
UNIVERSITY OF ALABAMA	1999	5102157	0	0	0	0	0	0	0	0	0
GS CALTEX [Joint Venture Chevron/GS Group]	2005	56410108	0	0	1	0	0	0	0	0	0
DRS	2008	506869289	26449367.8	0.052181	1	1	0	1	0	1	0
EMERSON CONSTRUCTION	2005	17289486	4000	0.000231	0	1	0	0	0	0	0
DYNATECH	2008	9381414.03	65035.72	0.006932	0	1	1	0	0	0	0
REEVES COUNTY	2008	-698229.09	0	0	0	0	0	0	0	0	0
WEBB RESEARCH	2008	2362851	1248171	0.528247	0	1	1	1	1	0	0
NATIONAL SERVICE INDUSTRIES	2002	4944652	123633	0.025003	0	1	0	1	0	0	0
CRAZY HORSE CONSTRUCTION	2005	206427.9	206427.9	1	0	1	1	1	1	1	1
TIME EXPRESS MESSENGER DELIVER	2008	26000	26000	1	0	1	1	1	1	1	1
ICF INTERNATIONAL	1996	95448	95448	1	0	1	1	1	1	1	1
MOTOROLA	2011	234677596.4	152616.17	0.00065	1	1	0	1	0	0	0
BLACK & VEATCH HOLDING	2008	76775712.2	368781.79	0.004803	0	1	0	0	0	0	0
VISION RESEARCH	2008	2753315.8	2648433.11	0.961906	0	1	1	1	1	0	0
SOUTHWEST RESEARCH INSTITUTE	2014	108611267	175784	0.001618	0	1	0	1	0	1	0
APPLIED MICROSYSTEMS	2011	34036.25	10500	0.308494	0	1	0	1	0	1	0
VFA	2008	2551240.67	1477532.67	0.579142	0	1	1	1	1	1	0
CHARTWELL LEISURE	2001	1083000	0	0	0	0	0	0	0	0	0
SIUTHWESTERN BELL	2000	901591.8	0	0	0	1	1	0	0	0	0
NESTLE	2015	117028.94	-351.91	-0.003007	1	1	0	0	0	0	0
DNAORATIO	2004	-101248	-101248	1	0	1	1	1	1	1	1
GENERAL DYNAMICS	1998	3864561238	73472590	0.019011	1	1	0	1	0	1	0
LIFE CYCLE ENGINEERING	2003	48679563	19403446	0.398595	0	1	1	1	1	0	0
LEWIS WILLIAMS CON & LOGIS	2003	1836734	1736734	0.945555	0	1	1	1	1	0	0
OHM	2004	-306027.1	0	0	0	0	0	0	0	0	0
GENERAL ELECTRIC	2004	1869008929	63011968.58	0.033714	1	1	0	1	0	1	0
VT GRIFFIN SERVICES	2009	127310798.2	55632401	0.436981	0	1	0	1	0	1	0
HARDING SECURITY ASSOCIATES	2009	89403743.56	80020704.94	0.895048	0	1	1	1	1	0	0
SNOW PHIPPS GROUP	2009	20932779.63	7079701.18	0.338211	0	1	1	1	1	0	0
